prenom_cle,exemple_auteur_complet,genre_estime
luigi,Luigi Lancieri,male
lydia,Lydia Boudjeloud,female
lyes,Lyes Benamsili,unknown
lylia,Lylia Abrouk,unknown
lynda,Lynda Khiali,female
lynne,Lynne Billard,female
léa,Léa Laporte,female
m.,M. Nidhal Jelassi,unknown
madenda,Madenda Sarifuddin,unknown
magalie,Magalie Delépine,female
maguelonne,Maguelonne Teisseire,female
maha,Maha Amami,female
maher,Maher Jaoua,male
mahfoud,Mahfoud Bala,unknown
maisa,Maisa Cristina Duarte,female
malek,Malek Hajjem,male
malika,Malika Charrad,female
manel,Manel Boumghar,male
manuel,Manuel Zacklad,male
manuele,Manuele Kirsh-Pinheiro,male
maram,Maram Romdhane,unknown
marc,Marc Boullé,male
marc-ismaël,Marc-Ismaël Akodjènou-Jeannin,unknown
marcin,Marcin Detyniecki,male
marco,Marco Attene,male
maria,Maria Malek,female
maria-luisa,Maria-Luisa Damiani,unknown
marian-andrei,Marian-Andrei Rizoiu,unknown
mariana,Mariana Patricio,female
marianne,Marianne Huchard,female
maribel,Maribel Fernández,female
marie,Marie Agier,female
marie-aude,Marie-Aude Aufaure,unknown
marie-aude-aufaure,Marie-Aude-Aufaure,unknown
marie-christine,Marie-Christine Jaulent,unknown
marie-françoise,Marie-Françoise Canut,unknown
marie-jeanne,Marie-Jeanne Lesot,unknown
marie-luce,Marie-Luce Picard,unknown
marie-noëlle,Marie-Noëlle Bessagnet,unknown
marie-odile,Marie-Odile Cordier,unknown
marie-thérèse,Marie-Thérèse Maunoury,unknown
mariem,Mariem Mahfoudh,unknown
marilys,Marilys Corbex,unknown
marinette,Marinette Amirault-Thébault,female
mario,Mario Cataldi,male
marion,Marion Moulinou,female
marius,Marius Barctus,male
mark,Mark Larsen,male
marlène,Marlène Villanova-Oliver,female
marouen,Marouen Kachroudi,unknown
marta,Marta Franová,female
martial,Martial Phélippé-Guinvarc'h,male
martine,Martine Collard,female
marwan,Marwan Batrouni,male
mary,Mary Felkin,mostly_female
maryvonne,Maryvonne Miquel,female
masaharu,Masaharu Hirota,male
masaki,Masaki Endo,male
massih-reza,Massih-Reza Amini,unknown
mathias,Mathias Géry,male
mathieu,Mathieu Roche,male
matthias,Matthias Studer,male
matthieu,Matthieu Exbrayat,male
mauro,Mauro Gaio,male
max,Max Chevalier,male
maxime,Maxime Lefrançois,mostly_male
maylis,Maylis Delest,unknown
md,Md Shadman Rafid,unknown
md.,Md. Haidar Sharif,unknown
mehdi,Mehdi Kaytoue,male
mehwish,Mehwish Alam,unknown
menaouer,Menaouer Brahami,unknown
meriem,Meriem Amina Zingla,unknown
meryem,Meryem Talha,female
michael,Michael Ley,male
michaël,Michaël Aupetit,male
michel,Michel Buffa,male
mickaël,Mickaël Coustaty,male
miguel,Miguel Couceiro,male
mihaela,Mihaela Scuturici,female
mimoun,Mimoun Malki,unknown
minh,Minh Thu Tran Nguyen,mostly_female
minyar,Minyar Sassi-Hidri,unknown
mira,Mira Abboud,female
mireille,Mireille Mousseau,female
moditha,Moditha Hewasinghage,unknown
modou,Modou Gueye,unknown
moez,Moez Baccouche,unknown
mohamad,Mohamad Dbouk,male
mohamed,Mohamed Nadif,male
mohamed-foued,Mohamed-Foued Sriti,unknown
mohammad,Mohammad Ghoniem,male
mohammed,Mohammed Ramdani,male
mohand,Mohand Boughanem,unknown
mohand-said,Mohand-Said Hacid,unknown
mohcine,Mohcine Maghfour,unknown
mojdeh,Mojdeh Soltanmohammadi,unknown
mokrane,Mokrane Bouzeghoub,unknown
mondher,Mondher Maddouri,unknown
monique,Monique Noirhomme-Fraiture,female
morgan,Morgan Mathiaut,mostly_male
morten,Morten Middelfart,male
mory,Mory Ouattara,unknown
mostafa,Mostafa Hanoune,male
mostéfa,Mostéfa Mokaddem,unknown
mouhamadou,Mouhamadou Thiam,unknown
mouloud,Mouloud Kharoune,male
mouna,Mouna Kamel,female
mounia,Mounia Lalmas,female
mounir,Mounir Dhibi,male
mounira,Mounira Harzallah,female
mourad,Mourad Oussalah,male
moussa,Moussa Lo,male
moustafa,Moustafa Bensafi,male
murat,Murat Ahat,male
musab,Musab Bairat,unknown
mustapha,Mustapha Lebbah,male
myriam,Myriam Maumy-Bertrand,female
mélanie,Mélanie Courtine,female
nabil,Nabil Benayadi,male
nacim,Nacim Ihaddadene,unknown
nacéra,Nacéra Bennacer,unknown
nada,Nada Matta,female
nader,Nader Hassine,male
nadia,Nadia Essoussi,female
nadine,Nadine Baptiste-Jessel,female
nadjim,Nadjim Chelghoum,unknown
najeh,Najeh Naffakhi,unknown
najoua,Najoua Essoukri Ben Amara,unknown
naouel,Naouel Barigou,unknown
narjes,Narjes Doggaz,female
narjès,Narjès Bellamine Ben Saoud,unknown
natalia,Natalia Grabar,female
nathalie,Nathalie Pernelle,female
nathanaël,Nathanaël Kasoro,unknown
natima,Natima Singla,unknown
nawal,Nawal Guermouche,female
nazha,Nazha Selmaoui-Folcher,unknown
ndeye,Ndeye Niang,unknown
nedra,Nedra Mellouli,female
nesrine,Nesrine Gabsi,female
nguyen-khang,Nguyen-Khang Pham,unknown
nhan,Nhan Le Thanh,mostly_male
nhat-quang,Nhat-Quang Doan,unknown
nicolas,Nicolas S. Müller,male
nicole,Nicole Vincent,female
nicoleta,Nicoleta Rogovschi,female
nida,Nida Meddouri,female
nischal,Nischal Verma,unknown
nistor,Nistor Grozavu,male
nizar,Nizar Messai,male
niña,Niña Kerry,unknown
noel,Noel Novelli,male
nongyao,Nongyao Mueangdee,unknown
noorani,Noorani Bakerally,unknown
norbert,Norbert Feron,male
nouha,Nouha Othman,female
noura,Noura Bouzrara,female
nourdine,Nourdine Badji,unknown
noureddine,Noureddine Yacine Nair Benrekia,unknown
nouria,Nouria Harbi,female
nourredine,Nourredine Aliane,unknown
noël,Noël Crespi,male
oana,Oana Andrei,female
olfa,Olfa Allani,unknown
olivier,Olivier Parisot,male
ollivier,Ollivier Haemmerlé,male
omar,Omar Boussaid,male
ond&#711;rej,Ond&#711;rej Šváb-Zamazal,unknown
oriane,Oriane Matte-Tailliez,female
oscar,Oscar Corcho,male
osmar,Osmar R. Zaïane,unknown
oswaldo,Oswaldo Castillo,male
otman,Otman Manad,unknown
oualid,Oualid Benyahia,unknown
oumaima,Oumaima Alaoui Ismaili,female
oumar,Oumar Sy,male
ousmane,Ousmane Djanga,unknown
oussama,Oussama Mokeddem,male
paola,Paola Salle,female
paolo,Paolo Simonetto,male
papantoniou,Papantoniou Katerina,unknown
pascal,Pascal Poncelet,male
pascale,Pascale Kuntz,female
patrice,Patrice Buche,male
patricia,Patricia Conde-Céspedes,female
patrick,Patrick Gallinari,male
pau,Pau Origoni,male
paul,Paul Richard,male
paula,Paula Brito,female
pavel,Pavel Arapov,male
peggy,Peggy Cellier,female
perrine,Perrine Pittet,female
peter,Peter Sturm,male
pham,Pham Dinh Tao,unknown
philippe,Philippe Lenca,male
philippe-henri,Philippe-Henri Gosselin,unknown
phillipe,Phillipe Lamarre,unknown
phuc-hiep,Phuc-Hiep Luong,unknown
pierre,Pierre Gançarski,male
pierre-alain,Pierre-Alain Laur,unknown
pierre-antoine,Pierre-Antoine Papon,unknown
pierre-edouard,Pierre-Edouard Portier,unknown
pierre-emmanuel,Pierre-Emmanuel Jouve,unknown
pierre-françois,Pierre-François Marteau,unknown
pierre-loup,Pierre-Loup Barazzutti,unknown
pierre-nicolas,Pierre-Nicolas Mougel,unknown
pierre-paul,Pierre-Paul Couka,unknown
pierre-rené,Pierre-René Lhérisson,unknown
pierrick,Pierrick Bruneau,male
prem,Prem Kumar Casimir,mostly_female
quang,Quang Nguyen,mostly_male
quang-thang,Quang-Thang Dinh,unknown
quentin,Quentin Brabant,male
quyet-thang,Quyet-Thang Le,unknown
r.,R. Trinquart,unknown
