,title,year,language,Nb_authors
63,Temporal hints in the cultural heritage discourse: what can an ontology of time as it is worded reveal?,2018,en,3
64,Un modèle Bayésien de co-clustering de données mixtes,2018,fr,4
65,Une approche sémantique hybride pour la recommandation des articles d'actualité à large échelle,2018,fr,3
66,Une méthode pour l'estimation désagrégée de données de population à l'aide de données ouvertes,2018,fr,3
67,UNITEX/GRAMLAB: plateforme libre basée sur des lexiques et des grammaires pour le traitement des corpus textuels,2018,fr,3
68,Universal-endpoint.com : une plateforme d'accès simple au Web des Données,2018,fr,3
69,Utilisation de techniques de modélisation thématiques pour la détection de nouveauté dans des flux de données textuelles.,2018,fr,3
70,Visualisation dynamique de connaissances : application aux interactions entre facteurs de risque des maladies cardiovasculaires,2018,fr,3
71,A Hybrid Approach for Detecting Influencers in Social Media,2017,en,7
72,Analyse des dynamiques spatio-temporelles à partir de séries temporelles d'images satellitaires,2017,fr,3
73,Analyse exploratoire de corpus textuels pour le journalisme d'investigation,2017,fr,3
74,Anonymiser des données multidimensionnelles à l'aide du coclustering,2017,fr,3
75,Application du coclustering à l'analyse exploratoire d'une table de données,2017,fr,4
76,Application mobile pour l'évaluation d'un algorithme de calcul de distance entre des items musicaux,2017,fr,3
77,Apprentissage d'espaces prétopologiques dans un cadre multi-instance pour la structuration de données,2017,fr,2
78,Apprentissage de structures séquentielles pour l'extraction d'entités et de relations dans des textes d'appels d'offres,2017,fr,3
79,Approche préventive pour une gestion élastique du traitement parallèle et distribué de flux de données,2017,fr,3
80,Cadre d'Evaluation pour la Méta Analyse de Données,2017,fr,3
81,Classification ascendante hiérarchique à noyaux et une application aux données textuelles,2017,fr,2
82,Classification d'objets 3D par extraction aléatoire de sous-parties discriminantes pour l'étude du sous-sol en prospection pétrolière,2017,fr,4
83,Classification multi-labels graduée: Apprendre les relations entre les labels ou limiter la propagation d'erreur ?,2017,fr,3
84,Classification parcimonieuse pour l'aide à la reconnaissance de cibles radar,2017,fr,4
85,Co-clustering de données mixtes à base des modèles de mélange,2017,fr,3
86,Comparaison et Évaluation de Mesures de Similarité entre Concepts d'un Treillis,2017,fr,2
87,Conception d'un modèle généraliste pour l'évaluation d'un test A/B,2017,fr,4
88,Découverte de sous-groupes avec les arbres de recherche de Monte Carlo,2017,fr,4
89,Deep Dive on Smart Cities by Scaling Reasoning and Interpreting the Semantics of IoT,2017,en,1
90,Défi EGC 2017: Modélisation Cost-Sensitive et Enrichissement de données,2017,fr,3
91,Description interactive de l'intérêt de l'utilisateur via l'échantillonnage de motifs,2017,fr,4
92,Détection de fausses informations dans les réseaux sociaux : vers des approches multi-modales,2017,fr,3
93,Enhanced user-user collaborative filtering recommendation algorithm based on semantic ratings,2017,en,3
94,Evolution temporelle de communautés représentatives : mesures et visualisation,2017,fr,3
95,Expression des connaissances en langage naturel : singularité et normalité d'une sélection,2017,fr,3
96,Extraction automatique de paysages en imagerie satellitaire et enrichissement sémantique,2017,fr,6
97,Extraction de chroniques discriminantes,2017,fr,4
98,Extraction de relations pour le peuplement d'une base de connaissance à partir de tweets,2017,fr,3
99,Extraction des évolutions récurrentes dans un unique graphe dynamique attribué,2017,fr,3
100,Extraction et chaînage supervisés de connaissances d'un corpus d'entretiens en histoire des sciences,2017,fr,3
101,Extraction et Inférence de Connaissances à partir d'Assemblages Mécaniques Définis par une Représentation CAO 3D,2017,fr,3
102,Face2Graph: Base de données graphe et visualisation pour l'annotation d'archives vidéos,2017,fr,3
103,Faciliter les contributions personnelles pour préserver la mémoire des événements historiques,2017,fr,3
104,Génération de RDF à partir de sources de données aux formats hétérogènes,2017,fr,3
105,Gestion de Connaissances en Temps Réel depuis des Flux Massifs de Données et Apprentissage Automatique,2017,fr,3
106,Interopérabilité sémantique libérale pour les services et les objets,2017,fr,1
107,K-Spectral Centroïd pour des données massives,2017,fr,4
108,Machine Learning Based Classification of Android Apps through Text Features,2017,en,3
109,Machine Learning for the Semantic Web: filling the gaps in Ontology Mining,2017,en,1
110,Mesure de la confiance dans les systèmes d'information : application aux données de navires,2017,fr,3
111,Mesure de Similarité entre Treillis Basée sur des Correspondances Explicites,2017,fr,1
112,Nouveau modèle pour un passage à l'échelle de la 0-subsomption,2017,fr,4
113,Optimisation des performances dans les entrepôts de données NoSQL en colonnes,2017,fr,2
114,Pharmacovigilance du Web Social par une approche fondée sur les bases de connaissances du Web Sémantique,2017,fr,2
115,PORGY : a Visual Analytics Platform for System Modelling and Analysis Based on Graph Rewriting,2017,en,6
116,Prédiction de défauts dans les arbres du parc végétal Grenoblois et préconisations pour les futures plantations,2017,fr,3
117,Prédiction du montant levé lors d'une campagne de financement participatif par la méthode des plus proches voisins,2017,fr,3
118,Prévision à court terme des flux de voyageurs du réseau ferré urbain : une approche par les réseaux bayésiens dynamiques,2017,fr,3
119,Prototype de clustering exploratoire pour l'aide à la segmentation des clients,2017,fr,5
120,Recommandations et prédictions de préférences basées sur la combinaison de données sémantiques et de folksonomie,2017,fr,3
121,Reconnaissance de sections et d'entités dans les décisions de justice : application des modèles probabilistes HMM et CRF,2017,fr,5
122,Sélection ciblée des descripteurs visuels pour la recherche d'images: une approche basée sur les règles d'association,2017,fr,4
123,Sélection et transformation de variables pour la classification Multi-Label par une approche MDL,2017,fr,3
124,Subspace Clustering et Visualisation des Flux de Données,2017,fr,3
125,Suivi de l'évolution de Clusters de Liens dans des Réseaux Sociaux Dynamiques,2017,fr,2
126,Support uniforme de types de données personnalisés dans RDF et SPARQL,2017,fr,2
127,Sur l'évaluation et l'élaboration d'un jeu de données de référence de bonne qualité en télédétection,2017,fr,4
128,Un critère d'évaluation pour les K-moyennes prédictives,2017,fr,3
129,Un générateur de réseaux dynamiques attribués avec structure communautaire,2017,fr,4
130,Un Modèle de Factorisation de Poisson pour la Recommandation de Points d'Intérêt,2017,fr,3
131,Une Approche d'Extraction de Motifs Graduels (Fermés) Fréquents Sous Contrainte de la Temporalité,2017,fr,6
132,Une approche innovante pour la compréhension des comportements de diffusion : personnalité et neutralité,2017,fr,3
133,Une approche logique pour la fouille de règles d'association,2017,fr,4
134,Une approche sociologique de la place des calculs dans les mondes numériques,2017,fr,1
135,Une mesure d'expertise pour le crowdsourcing,2017,fr,5
136,Une métrique de sélection de variables appliquée à la centralité et à la détection des rôles communautaires,2017,fr,2
137,Une plateforme d'analyse d'opinions en temps réel sur Twitter avec recommandation,2017,fr,4
138,Veille d'Information sur le Web avec Re-Watch,2017,fr,2
139,Vers un échantillonnage de flux de données transformé,2017,fr,2
140,Vers une instance française de NELL : chaîne TLN multilingue et modélisation d'ontologie,2017,fr,2
141,VIPE : un outil interactif de classification multilabel de messages courts,2017,fr,4
142,"“Engage moi”: From retrieval effectiveness, user satisfaction to user engagement",2017,en,1
143,A Relevant Passage Retrieval and Re-ranking Approach for Open-Domain Question Answering,2016,en,2
144,Adaptation des Mappings entre Systèmes d'Organisation de la Connaissance du domaine Biomédical,2016,fr,1
145,Analyse d'activité et exposition de la vie privée sur les médias sociaux,2016,fr,6
146,Analyse exploratoire par k-Coclustering avec Khiops CoViz,2016,en,5
147,Analyse géographique de séries de publications : application aux conférences EGC,2016,fr,5
148,Analyses synchroniques et diachroniques des thématiques EGC- Défi ECG 2016,2016,fr,2
149,"Apprentissage du signal prix de l'électricité. Arbres de régression, séries temporelles et prédictions à long terme",2016,fr,3
150,Approche de Clustering de Flux basée sur les Graphes de Voisinage,2016,fr,3
151,Arbres de modèles et flux de données incomplets,2016,fr,4
152,Associer argumentation et simulation en aide à la décision : Illustration en agroalimentaire,2016,fr,3
153,Caractérisation d'instances d'apprentissage pour un méta-mining évolutionnaire,2016,fr,5
154,Catégorisation et Désambiguïsation des Intérêts des Individus dans le Web Social,2016,fr,3
155,Clustering par apprentissage de distance guidé par des préférences sur les attributs,2016,fr,5
156,Clustering visuel semi-interactif,2016,it,5
157,Combinaison de méthodes numériques et symboliques pour l'analyse de données métabolomiques,2016,fr,4
158,Concept drift vs suicide: comment l'un peut prévenir l'autre?,2016,fr,3
159,Construction incrémentale d'une structure hiérarchique pour l'exploration visuelle et interactive de larges collections d'images,2016,fr,4
160,Contributions à la coloration des hypergraphes basées sur les traverses minimales,2016,fr,3
161,Découverte de labels dupliqués par l'exploration du treillis des classifieurs binaires,2016,fr,4
162,Découverte de motifs intelligibles et caractéristiques d'anomalies dans les traces unitaires,2016,fr,4
163,Défi EGC 2016 : Analyse par Motifs Fréquents et Topic Modeling,2016,fr,4
164,Défi EGC 2016 Vues Conceptuelles des Collaborations aux Conférences EGC depuis 2004: Une modélisation descriptive,2016,fr,1
165,Détection de données aberrantes à partir de motifs fréquents sans énumération exhaustive,2016,fr,2
166,Détection de messages falsifiés de localisation de navires,2016,fr,3
167,Enrichissement de schéma multidimensionnel en constellation grâce à la Classification Ascendante Hiérarchique,2016,fr,6
168,Évaluation et Prédiction de la Centralité de Groupes de Recherche dans un Réseau de Collaborations Scientifiques,2016,fr,4
169,Exploration des Données du Défi EGC 2016 à l'aide d'un Système d'Information Logique,2016,fr,4
170,Extension de C-SPARQL pour l'échantillonnage de flux de graphes RDF,2016,fr,3
171,Extraction automatique d'affixes pour la reconnaissance d'entités nommées chimiques,2016,fr,4
172,Extraction de clés de liage de données (résumé étendu),2016,fr,1
173,Extraction de commentaires utilisateurs sur le Web,2016,fr,3
174,Extraction de connaissances dans les Systèmes d'Information Pervasifs par l'Analyse Formelle de Concepts,2016,fr,3
175,Fabrique logicielle de réseaux sociaux spécialisés (aspects fonctionnels),2016,fr,3
176,Fairness-Aware Data Mining,2016,en,1
177,FODOMUST: une plateforme pour la fouille de données multistratégie multitemporelle,2016,fr,2
178,Fouille de motifs séquentiels avec ASP,2016,fr,4
179,Fusion de données redondantes : une approche explicative,2016,fr,2
180,Génération de contraintes pour le clustering à partir d'une ontologie - Application à la classification d'images satellites,2016,fr,5
181,Identification de Classes Sémantiques Basée sur des Mesures de Proximité Sémantique,2016,fr,2
182,Intégration de connaissances lexicales et sémantiques pour l'analyse de sentiments dans les SMS,2016,fr,3
183,Intégration des Influences Géographique et Temporelle pour la Recommandation de Points d'Intérêt,2016,fr,3
184,Khiops: outil d'apprentissage supervisé automatique pour la fouille de grandes bases de données multi-tables,2016,fr,1
185,L'analyse relationnelle de concepts pour la fouille de données temporelles – Application à l'étude de données hydroécologiques,2016,fr,5
186,La génération des résumés visuels de flux de données de capteurs météorologiques avec des chorèmes,2016,fr,3
187,La r-confiance pour l'identification de trajectoires de patients,2016,fr,5
188,La révolution de l'assurance par la donnée : défis scientifiques de l'extraction à la gestion de connaissances,2016,fr,1
189,"Learning from Massive, Incompletely annotated & Structured Data",2016,en,1
190,LibRe: Protocole de gestion de la cohérence dans les systèmes de stockage distribués,2016,fr,4
191,Manipulation interactive d'ensemble de motifs : application aux parcours hospitaliers,2016,fr,5
192,Nettoyage de données guidé par la sémantique inter-colonnes,2016,fr,3
193,Nouveaux algorithmes de fouilles de données relationnelles de clowdflows,2016,fr,2
194,Nouvelle méthode de calcul de la réputation dans les forums de santé,2016,fr,1
195,Observations sur les distributions latentes aux matrices laplaciennes de graphes,2016,fr,2
196,PersoRec : un système personnalisé de recommandations pour les folksonomies basé sur les concepts quadratiques,2016,fr,3
197,Plongement de métrique pour le calcul de similarité sémantique à l'échelle,2016,fr,3
198,Prédiction de la qualité dans les plateformes collaboratives : une approche générique par les graphes hétérogènes,2016,fr,3
199,Recherche de groupes parallèles en classification non-supervisée,2016,fr,6
200,Régression logistique pour la classification d'images à grande échelle,2016,fr,2
201,Relaxation des Requêtes Skyline : Une Approche Centrée Utilisateur,2016,fr,3
202,Requêtes discriminantes pour l'exploration des données,2016,fr,6
203,SAFFIET : un système d'extraction de règles d'associations spatiales et fonctionnelles dans les séries de données géographiques,2016,fr,4
204,SArEM: Un méta-modèle pour la spécification des processus d'extraction d'architectures logicielles,2016,fr,4
205,Segmentation comportementale à l'aide des réseaux communautaires,2016,fr,2
206,Sélection topologique de variables dans un contexte de discrimination,2016,fr,2
207,Slider : un Raisonneur Incrémental Évolutif,2016,fr,4
208,Structures de haies dans un paysage agricole : une étude par chemin de Hilbert adaptatif et chaînes de Markov,2016,fr,3
209,Supervision de comportements remarquables d'objets mobiles à partir du suivi et de l'analyse de leurs trajectoires spatio-temporelles,2016,fr,4
210,TOM: A library for topic modeling and browsing,2016,en,2
211,Topic modeling and hypergraph mining to analyze the EGC conference history,2016,en,3
212,"Towards generic and efficient constraint-based mining, a constraint programming approach",2016,en,1
213,Transmute : un outil interactif pour assister l'extraction de connaissances à partir de traces,2016,fr,3
214,Un cadre collaboratif pour la segmentation et la classification d'images de télédétection,2016,fr,3
215,Un outil d'exploration pour le Défi EGC 2016,2016,fr,3
216,Un protocole d'expérimentation sur les propriétés graphémiques avec l'algorithme SOM,2016,fr,3
217,Un regard lexico-scientométrique sur le défi EGC 2016,2016,fr,5
218,Une approche basée sur des données mixtes – mesures et estimations – pour la détection de défaillances d'un système robotisé,2016,fr,6
219,Une approche combinée pour l'enrichissement d'ontologie à partir de textes et de données du LOD,2016,fr,3
220,Une approche d'évolution du web de données,2016,fr,3
221,Une approche de réduction de dimensionnalité pour l'agrégation de préférences qualitatives,2016,fr,4
222,Une mesure de similarité entre phrases basée sur des noyaux sémantiques,2016,fr,3
223,Une méthode de découverte de motifs contextualisés dans les traces de mobilité d'une personne,2016,fr,5
224,Une méthode supervisée pour initialiser les centres des K-moyennes,2016,fr,3
225,Vers une approche Visual Analytics pour explorer les variantes de sujets d'un corpus,2016,fr,3
226,Visualisation interactive de métadonnées pour aider les utilisateurs d'un logiciel de cartographie statistique à concevoir de meilleures cartes.,2016,fr,1
227,A Clustering Based Approach for Type Discovery in RDF Data Sources,2015,en,2
228,A Framework for Mesh Segmentation and Annotation using Ontologies,2015,en,4
229,Analyse des paramètres de recherche d'information: Etude de l'influence des paramètres sur les résultats,2015,fr,2
230,Analyse et visualisation d'opinions dans un cadre de veille sur leWeb,2015,fr,5
231,Analyse OLAP sur des tweets et des blogs : un retour d'expérience,2015,fr,3
232,Analyse visuelle pour la détection des intrusions,2015,fr,2
233,Approche d'extraction de classes interlangues à partir de documents multilingues à base de Concepts Fermés,2015,fr,2
234,Approche relationnelle de l'apprentissage de séquences,2015,fr,3
235,Big Data and the Dawn of Algorithms in Everything,2015,en,1
236,Big Data is all about data that we don't have,2015,en,1
237,"Challenges and Opportunities in HCI, Visual Analytics and Knowledge Management for the development of Sustainable Cities",2015,en,1
238,Choix d'une mesure de proximité discriminante dans un contexte topologique,2015,fr,2
239,Classification évidentielle avec contraintes d'étiquettes,2015,fr,2
240,Classification multi-label par raisonnement logique pour l'indexation sémantique de documents,2015,fr,3
241,Clustering topologique pour le flux de données,2015,fr,3
242,Cohérence des données de bases RDF en évolution constante,2015,fr,3
243,"Comparison of linear modularization criteria using the relational formalism, an approach to easily identify resolution limit",2015,en,3
244,Compromis précision-rappel dans l'évaluation des performances ,2015,fr,2
245,Contribution au calcul du skyline par réduction de l'espace candidat,2015,fr,2
246,D113 : une plateforme open-source dédiée à l'analyse des flux et à la détection des intrusions,2015,fr,2
247,Découverte de proportions analogiques dans les bases de données : une première approche,2015,fr,3
248,Détection automatique de reformulations - Correspondance de concepts appliquée à la détection du plagiat,2015,fr,2
249,Détection et regroupement automatique de style d'écriture dans un texte,2015,fr,2
250,Deux approches pour catégoriser le risque,2015,fr,2
251,Échantillonnage de flux de données sémantiques : Une approche orientée graphe,2015,fr,4
252,Etude de La Pertinence lors de La Sélection de Collections dans les Systèmes Distribués,2015,fr,3
253,Extraction complète efficace de chemins pondérés dans un a-DAG,2015,fr,5
254,Extraction de l'intérêt implicite des utilisateurs dans les attributs des items pour améliorer les systèmes de recommandations,2015,fr,3
255,Feedback - Study and Improvement of the Random Forest of the Mahout library in the context of marketing data of Orange,2015,en,4
256,gapIT : Un outil visuel pour l'imputation de valeurs manquantes en hydrologie,2015,fr,6
257,Gestion de l'incertitude dans le cadre d'une extraction des connaissances à partir de texte,2015,fr,2
258,Heuristiques pour l'adaptation des mappings entre ontologies dynamiques,2015,fr,3
259,Identification d'auteurs par apprentissage automatique,2015,fr,3
260,Identification des utilisateurs atypiques dans les systèmes de recommandation sociale,2015,fr,3
261,L'apport d'une approche symbolique pour le repérage des entités nommées en langue amazighe,2015,fr,3
262,LeveragingWeb 2.0 for Informed Real-Estate Services,2015,en,7
263,Linked Data Annotation and Fusion driven by Data Quality Evaluation,2015,en,3
264,Managing Big Multidimensional Data,2015,tl,1
265,Mesure d'influence via les indicateurs de centralité dans les réseaux sociaux,2015,fr,2
266,Méthode alternative à la détection de « copier/coller » : intersection de textes et construction de séquences maximales communes ,2015,fr,2
267,Mining Classes by Multi-label Classification,2015,en,2
268,"Modèle de Biclustering dans un paradigme ""Mapreduce""",2015,fr,3
269,Nouvelle approche de contextualisation de tweets basée sur les règles d'association inter-termes,2015,fr,4
270,Pour une meilleure exploitation de la classification croisée dans les systèmes de filtrage collaboratif,2015,fr,4
271,Proposition d'outil de clustering visuel et interactif,2015,fr,4
272,Qualité et complexité en évaluation des mesures d'intérêt,2015,fr,3
273,RankMerging: Apprentissage supervisé de classements pour la prédiction de liens dans les grands réseaux sociaux,2015,fr,3
274,Réduction de la complexité spatiale et temporelle du Compact Prediction Tree pour la prédiction de séquences,2015,fr,2
275,Regroupement d'attributs par règles d'association dans les systèmes d'inférence floue,2015,fr,2
276,Régularisation de noyaux temporellement élastiques et analyse en composantes principales non-linéaire pour la fouille de séries temporelles ,2015,fr,1
277,Requêtes Skyline en présence des données évidentielles,2015,fr,5
278,To initiate a corporate memory with a knowledge compendium: ten years of learning from experience with the Ardans method,2015,en,2
279,Towards Linked Data Extraction From Tweets,2015,en,4
280,Ultrametricity of Dissimilarity Spaces and Its Significance for Data Mining,2015,en,3
281,Un algorithme EM pour une version parcimonieuse de l'analyse en composantes principales probabiliste,2015,fr,2
282,Un algorithme ICM basé sur la compacité pour la segmentation des images satellites à très haute résolution,2015,fr,3
283,Un langage d'interrogation à la SPARQL pour les graphes conceptuels,2015,fr,3
284,Une approche centrée graine pour la détection de communautés dans les réseaux multiplexes,2015,fr,3
285,Une approche de visualisation analytique pour comparer les modèles de propagation dans les réseaux sociaux,2015,fr,3
286,Une nouvelle formalisation des changements ontologiques composés et complexes,2015,fr,4
287,Une nouvelle méthode de Web Usage Mining basée sur une analyse sémiotique du comportement de navigation,2015,fr,3
288,Une Plateforme ETL parallèle et distribuée pour l'intégration de données massives,2015,fr,4
289,Using Social Conversational Context For Detecting Users Interactions on Microblogging Sites,2015,en,3
290,Utilisation des pyramides pour visualiser la contamination des manuscrits,2015,fr,1
291,Vers la découverte de modèles exceptionnels locaux : des règles descriptives liant les molécules à leurs odeurs,2015,fr,6
292,Visualizing Shooting Spots using Geo-tagged Photographs from Social Media Sites,2015,en,4
293,XEWGraph : Outil de Visualisation et Analyse des Hypergraphes pour un Système d'Intelligence Economique,2015,fr,5
294,1d-SAX : une nouvelle représentation symbolique pour les séries temporelles,2014,fr,4
295,Agrégation de sac-de-sacs-de-mots pour la recherche d'information par modèles vectoriels,2014,fr,1
296,Alignement d'ontologies : exploitation des ontologies liées sur le web de données,2014,fr,5
297,Annotation sémantique de documents administratifs,2014,fr,4
298,Application du paradigme MapReduce aux données ouvertes Cas : Accessibilité des personnes à mobilité réduite aux musées,2014,fr,4
299,Apprentissage de fonctions de tri pour la prédiction d'interactions protéine-ARN,2014,fr,4
300,Apprentissage incrémental anytime d'un classifieur Bayésien naïf pondéré,2014,fr,3
301,"Apprentissage non supervisé de dépendances syntaxiques à partir de texte étiqueté, plusieurs variantes de PCFG légères",2014,fr,4
302,Approche formelle de fusion d'ontologies à l'aide des grammaires de graphes typés,2014,fr,4
303,Approche par motifs pour l'analyse de données multi-résolution,2014,fr,3
304,Automatic correction of SVM for drifted data classification,2014,en,3
305,Broad Data: What happens when the Web of Data becomes real?,2014,en,1
306,Classification des actions humaines basée sur les descripteurs spatio-temporels,2014,fr,3
307,Classification et prédiction du flux solaire,2014,fr,4
308,Classifieur naïf de Bayes pondéré pour flux de données,2014,fr,3
309,Clustering de données relationnelles pour la structuration de flux télévisuels,2014,fr,2
310,Clustering de séquences d'évènements temporels,2014,fr,4
311,Clusters dans les réseaux sociaux : intersections entre liens conceptuels fréquents et communautés,2014,fr,2
312,Comment Devenir Cybercondriaque ?,2014,fr,2
313,Comparaison de bornes théoriques pour l'accélération du clustering incrémental en une passe,2014,fr,3
314,Comparaison des chemins de Hilbert adaptatif et des graphes de voisinage pour la caractérisation d'un parcellaire agricole,2014,fr,4
315,Compréhension de recettes de cuisine utilisateurs par extraction de connaissances intrinsèques,2014,fr,3
316,Construction de cube OLAP à partir d'un entrepôt de données orienté colonnes,2014,fr,4
317,Construction de profils de préférences contextuelles basée sur l'extraction de motifs séquentiels,2014,fr,3
318,De l'ombre à la lumière : plus de visibilité sur l'Eclipse,2014,fr,3
319,De nouvelles pondérations adaptées à la classification de petits volumes de données textuelles,2014,fr,3
320,Des humanités au numérique : interdisciplinarité et réciprocité,2014,fr,1
321,Détection d'opinions dans des tweets,2014,fr,4
322,Détection de changements dans des flots de données qualitatives,2014,fr,4
323,Détection de situations à risque basée sur des détecteurs de mouvement à domicile pour les personnes dépendantes,2014,fr,4
324,Du texte à la base de données géographiques,2014,fr,3
325,Dynamique des communautés par prédiction d'interactions dans les réseaux sociaux,2014,fr,2
326,Evaluation de la pertinence dans un système de recommandation sémantique de nouvelles économiques,2014,fr,3
327,Exploration d'une collection de chansons à partir d'une interface de visualisation basée sur une analyse des paroles,2014,fr,3
328,Extension de l'étiquetage géographique des pixels d'une image par fouille de données,2014,fr,4
329,Extraction de motifs dans des graphes orientés attribués en présence d'automorphisme,2014,fr,4
330,Extraction de règles d'épisodes minimales dans des séquences complexes,2014,fr,3
331,Extraire les motifs minimaux efficacement et en profondeur,2014,fr,2
332,Fouille de données par programmation visuelle structurée avec KD-Ariane,2014,fr,2
333,Fouille de motifs séquentiels pour l'élicitation de stratégies à partir de traces d'interactions entre agents en compétition,2014,fr,4
334,Généralisation des k-moyennes pour produire des recouvrements ajustables,2014,fr,3
335,Génération d'un extrait textuel à partir de bases de données,2014,fr,3
336,Granularité des motifs de co-variations dans des graphes attribués dynamiques,2014,fr,3
337,Identification de classes non-disjointes ayants des densités différentes,2014,fr,3
338,Identification de rôles communautaires dans des réseaux orientés appliquée à Twitter,2014,fr,3
339,Incremental learning with latent factor models for attribute prediction in social-attribute networks,2014,en,3
