id,title,year,language,Nb_authors,title_clean,cluster,theme
73,Analyse exploratoire de corpus textuels pour le journalisme d'investigation,2017,fr,3,analyse exploratoire corpus textuel journalisme investigation,4,Apprentissage automatique et réseaux de connaissances
74,Anonymiser des données multidimensionnelles à l'aide du coclustering,2017,fr,3,anonymiser donnée multidimensionnel aide coclustering,2,Aide à la décision et analyse multidimensionnelle
75,Application du coclustering à l'analyse exploratoire d'une table de données,2017,fr,4,application coclustering analyse exploratoire table donnée,3,Data mining et gestion de flux de données
76,Application mobile pour l'évaluation d'un algorithme de calcul de distance entre des items musicaux,2017,fr,3,application mobile évaluation algorithme calcul distance entrer item musical,4,Apprentissage automatique et réseaux de connaissances
77,Apprentissage d'espaces prétopologiques dans un cadre multi-instance pour la structuration de données,2017,fr,2,apprentissage espace prétopologiquer cadre structuration donnée,3,Data mining et gestion de flux de données
78,Apprentissage de structures séquentielles pour l'extraction d'entités et de relations dans des textes d'appels d'offres,2017,fr,3,apprentissage structure séquentiel extraction entité relation texte appel offre,9,Extraction d’information et analyse documentaire web
79,Approche préventive pour une gestion élastique du traitement parallèle et distribué de flux de données,2017,fr,3,approche préventif gestion élastique traitement parallèle distribuer flux donnée,3,Data mining et gestion de flux de données
80,Cadre d'Evaluation pour la Méta Analyse de Données,2017,fr,3,cadre evaluation méta analyse donnée,3,Data mining et gestion de flux de données
81,Classification ascendante hiérarchique à noyaux et une application aux données textuelles,2017,fr,2,classification ascendant hiérarchique noyau application donnée textuel,3,Data mining et gestion de flux de données
82,Classification d'objets 3D par extraction aléatoire de sous-parties discriminantes pour l'étude du sous-sol en prospection pétrolière,2017,fr,4,classification objet extraction aléatoire discriminer étude prospection pétrolier,9,Extraction d’information et analyse documentaire web
83,Classification multi-labels graduée: Apprendre les relations entre les labels ou limiter la propagation d'erreur ?,2017,fr,3,classification gradué apprendre relation entrer label limiter propagation erreur,4,Apprentissage automatique et réseaux de connaissances
84,Classification parcimonieuse pour l'aide à la reconnaissance de cibles radar,2017,fr,4,classification parcimonieux aide reconnaissance cible radar,2,Aide à la décision et analyse multidimensionnelle
85,Co-clustering de données mixtes à base des modèles de mélange,2017,fr,3,donnée mixte base modèle mélange,3,Data mining et gestion de flux de données
86,Comparaison et Évaluation de Mesures de Similarité entre Concepts d'un Treillis,2017,fr,2,comparaison évaluation mesure similarité entrer concepts treillis,4,Apprentissage automatique et réseaux de connaissances
87,Conception d'un modèle généraliste pour l'évaluation d'un test A/B,2017,fr,4,conception modèle généraliste évaluation test b,4,Apprentissage automatique et réseaux de connaissances
88,Découverte de sous-groupes avec les arbres de recherche de Monte Carlo,2017,fr,4,découverte arbre recherche monte carlo,8,Recherche d’information et traitement d’images
90,Défi EGC 2017: Modélisation Cost-Sensitive et Enrichissement de données,2017,fr,3,défi egc modélisation cost sensitive enrichissement donnée,3,Data mining et gestion de flux de données
91,Description interactive de l'intérêt de l'utilisateur via l'échantillonnage de motifs,2017,fr,4,description interactif intérêt utilisateur échantillonnage motif,7,Visualisation et exploration interactive de données
92,Détection de fausses informations dans les réseaux sociaux : vers des approches multi-modales,2017,fr,3,détection faux information réseau social approche,4,Apprentissage automatique et réseaux de connaissances
94,Evolution temporelle de communautés représentatives : mesures et visualisation,2017,fr,3,evolution temporel communauté représentatif mesure visualisation,5,Analyse de séries temporelles et données spatio-temporelles
95,Expression des connaissances en langage naturel : singularité et normalité d'une sélection,2017,fr,3,expression connaissance langage naturel singularité normalité sélection,4,Apprentissage automatique et réseaux de connaissances
96,Extraction automatique de paysages en imagerie satellitaire et enrichissement sémantique,2017,fr,6,extraction automatique paysage imagerie satellitaire enrichissement sémantique,9,Extraction d’information et analyse documentaire web
97,Extraction de chroniques discriminantes,2017,fr,4,extraction chronique discriminant,9,Extraction d’information et analyse documentaire web
98,Extraction de relations pour le peuplement d'une base de connaissance à partir de tweets,2017,fr,3,extraction relation peuplement base connaissance partir tweet,9,Extraction d’information et analyse documentaire web
99,Extraction des évolutions récurrentes dans un unique graphe dynamique attribué,2017,fr,3,extraction évolution récurrent unique graphe dynamique attribuer,9,Extraction d’information et analyse documentaire web
100,Extraction et chaînage supervisés de connaissances d'un corpus d'entretiens en histoire des sciences,2017,fr,3,extraction chaînage superviser connaissance corpus entretien histoire science,9,Extraction d’information et analyse documentaire web
101,Extraction et Inférence de Connaissances à partir d'Assemblages Mécaniques Définis par une Représentation CAO 3D,2017,fr,3,extraction inférence connaissance partir assemblages mécaniques définis représentation cao,9,Extraction d’information et analyse documentaire web
102,Face2Graph: Base de données graphe et visualisation pour l'annotation d'archives vidéos,2017,fr,3,base donnée graph visualisation annotation archive vidéo,7,Visualisation et exploration interactive de données
103,Faciliter les contributions personnelles pour préserver la mémoire des événements historiques,2017,fr,3,faciliter contribution personnel préserver mémoire événement historique,4,Apprentissage automatique et réseaux de connaissances
104,Génération de RDF à partir de sources de données aux formats hétérogènes,2017,fr,3,génération rdf partir source donnée format hétérogène,3,Data mining et gestion de flux de données
105,Gestion de Connaissances en Temps Réel depuis des Flux Massifs de Données et Apprentissage Automatique,2017,fr,3,gestion connaissance temps réel flux massifs donnée apprentissage automatique,3,Data mining et gestion de flux de données
106,Interopérabilité sémantique libérale pour les services et les objets,2017,fr,1,interopérabilité sémantique libéral service objet,4,Apprentissage automatique et réseaux de connaissances
107,K-Spectral Centroïd pour des données massives,2017,fr,4,k spectral centroïd donnée massif,3,Data mining et gestion de flux de données
110,Mesure de la confiance dans les systèmes d'information : application aux données de navires,2017,fr,3,mesure confiance système information application donnée navire,3,Data mining et gestion de flux de données
111,Mesure de Similarité entre Treillis Basée sur des Correspondances Explicites,2017,fr,1,mesure similarité entrer treillis basée correspondance explicites,4,Apprentissage automatique et réseaux de connaissances
112,Nouveau modèle pour un passage à l'échelle de la 0-subsomption,2017,fr,4,modèle passage échelle,4,Apprentissage automatique et réseaux de connaissances
113,Optimisation des performances dans les entrepôts de données NoSQL en colonnes,2017,fr,2,optimisation performance entrepôt donnée nosql colonne,3,Data mining et gestion de flux de données
114,Pharmacovigilance du Web Social par une approche fondée sur les bases de connaissances du Web Sémantique,2017,fr,2,pharmacovigilance web social approche fonder base connaissance web sémantique,9,Extraction d’information et analyse documentaire web
116,Prédiction de défauts dans les arbres du parc végétal Grenoblois et préconisations pour les futures plantations,2017,fr,3,prédiction défaut arbre parc végétal grenoblois préconisation future plantation,4,Apprentissage automatique et réseaux de connaissances
117,Prédiction du montant levé lors d'une campagne de financement participatif par la méthode des plus proches voisins,2017,fr,3,prédiction montant levé campagne financement participatif méthode voisin,4,Apprentissage automatique et réseaux de connaissances
118,Prévision à court terme des flux de voyageurs du réseau ferré urbain : une approche par les réseaux bayésiens dynamiques,2017,fr,3,prévision court terme flux voyageur réseau ferré urbain approche réseau bayésien dynamique,4,Apprentissage automatique et réseaux de connaissances
119,Prototype de clustering exploratoire pour l'aide à la segmentation des clients,2017,fr,5,prototype clustering exploratoire aide segmentation client,2,Aide à la décision et analyse multidimensionnelle
120,Recommandations et prédictions de préférences basées sur la combinaison de données sémantiques et de folksonomie,2017,fr,3,recommandation prédiction préférence baser combinaison donnée sémantique folksonomie,3,Data mining et gestion de flux de données
121,Reconnaissance de sections et d'entités dans les décisions de justice : application des modèles probabilistes HMM et CRF,2017,fr,5,reconnaissance section entité décision justice application modèle probabiliste hmm crf,4,Apprentissage automatique et réseaux de connaissances
122,Sélection ciblée des descripteurs visuels pour la recherche d'images: une approche basée sur les règles d'association,2017,fr,4,sélection ciblé descripteur visuel recherche image approche baser règle association,8,Recherche d’information et traitement d’images
123,Sélection et transformation de variables pour la classification Multi-Label par une approche MDL,2017,fr,3,sélection transformation variable classification approche mdl,4,Apprentissage automatique et réseaux de connaissances
124,Subspace Clustering et Visualisation des Flux de Données,2017,fr,3,subspace clustering visualisation flux donnée,7,Visualisation et exploration interactive de données
125,Suivi de l'évolution de Clusters de Liens dans des Réseaux Sociaux Dynamiques,2017,fr,2,évolution cluster lien réseau social dynamique,4,Apprentissage automatique et réseaux de connaissances
126,Support uniforme de types de données personnalisés dans RDF et SPARQL,2017,fr,2,support uniforme type donnée personnaliser rdf sparql,3,Data mining et gestion de flux de données
127,Sur l'évaluation et l'élaboration d'un jeu de données de référence de bonne qualité en télédétection,2017,fr,4,évaluation élaboration jeu donnée référence bon qualité télédétection,3,Data mining et gestion de flux de données
128,Un critère d'évaluation pour les K-moyennes prédictives,2017,fr,3,critère évaluation k moyenne prédictif,4,Apprentissage automatique et réseaux de connaissances
129,Un générateur de réseaux dynamiques attribués avec structure communautaire,2017,fr,4,générateur réseau dynamique attribuer structure communautaire,4,Apprentissage automatique et réseaux de connaissances
130,Un Modèle de Factorisation de Poisson pour la Recommandation de Points d'Intérêt,2017,fr,3,modèle factorisation poisson recommandation point intérêt,4,Apprentissage automatique et réseaux de connaissances
131,Une Approche d'Extraction de Motifs Graduels (Fermés) Fréquents Sous Contrainte de la Temporalité,2017,fr,6,approche extraction motif graduels fermés fréquent sou contrainte temporalité,1,Analyse de motifs et séquences dans les données
132,Une approche innovante pour la compréhension des comportements de diffusion : personnalité et neutralité,2017,fr,3,approche innovant compréhension comportement diffusion personnalité neutralité,4,Apprentissage automatique et réseaux de connaissances
133,Une approche logique pour la fouille de règles d'association,2017,fr,4,approche logique fouille règle association,6,Règles d’association et génération de connaissances
134,Une approche sociologique de la place des calculs dans les mondes numériques,2017,fr,1,approche sociologique place calcul monde numérique,4,Apprentissage automatique et réseaux de connaissances
135,Une mesure d'expertise pour le crowdsourcing,2017,fr,5,mesure expertise crowdsourcing,4,Apprentissage automatique et réseaux de connaissances
136,Une métrique de sélection de variables appliquée à la centralité et à la détection des rôles communautaires,2017,fr,2,métrique sélection variable appliquer centralité détection rôle communautaire,4,Apprentissage automatique et réseaux de connaissances
137,Une plateforme d'analyse d'opinions en temps réel sur Twitter avec recommandation,2017,fr,4,plateform analyse opinion temps réel twitter recommandation,4,Apprentissage automatique et réseaux de connaissances
138,Veille d'Information sur le Web avec Re-Watch,2017,fr,2,veille information web,9,Extraction d’information et analyse documentaire web
139,Vers un échantillonnage de flux de données transformé,2017,fr,2,échantillonnage flux donnée transformer,3,Data mining et gestion de flux de données
140,Vers une instance française de NELL : chaîne TLN multilingue et modélisation d'ontologie,2017,fr,2,instance français nell chaîn tln multilingue modélisation ontologie,0,Ontologies et traitement sémantique du texte
141,VIPE : un outil interactif de classification multilabel de messages courts,2017,fr,4,vipe outil interactif classification multilabel message court,7,Visualisation et exploration interactive de données
144,Adaptation des Mappings entre Systèmes d'Organisation de la Connaissance du domaine Biomédical,2016,fr,1,adaptation mapping entrer système organisation connaissance domaine biomédical,4,Apprentissage automatique et réseaux de connaissances
145,Analyse d'activité et exposition de la vie privée sur les médias sociaux,2016,fr,6,analyse activité exposition vie priver média social,4,Apprentissage automatique et réseaux de connaissances
147,Analyse géographique de séries de publications : application aux conférences EGC,2016,fr,5,analyse géographique série publication application conférence egc,4,Apprentissage automatique et réseaux de connaissances
148,Analyses synchroniques et diachroniques des thématiques EGC- Défi ECG 2016,2016,fr,2,analyse synchronique diachronique thématique défi ecg,4,Apprentissage automatique et réseaux de connaissances
149,"Apprentissage du signal prix de l'électricité. Arbres de régression, séries temporelles et prédictions à long terme",2016,fr,3,apprentissage signal prix électricité arbre régression série temporel prédiction long terme,5,Analyse de séries temporelles et données spatio-temporelles
150,Approche de Clustering de Flux basée sur les Graphes de Voisinage,2016,fr,3,approche clustering flux baser graphe voisinage,4,Apprentissage automatique et réseaux de connaissances
151,Arbres de modèles et flux de données incomplets,2016,fr,4,arbre modèle flux donnée incomplet,3,Data mining et gestion de flux de données
152,Associer argumentation et simulation en aide à la décision : Illustration en agroalimentaire,2016,fr,3,associer argumentation simulation aide décision illustration agroalimentaire,2,Aide à la décision et analyse multidimensionnelle
153,Caractérisation d'instances d'apprentissage pour un méta-mining évolutionnaire,2016,fr,5,caractérisation instance apprentissage évolutionnaire,4,Apprentissage automatique et réseaux de connaissances
154,Catégorisation et Désambiguïsation des Intérêts des Individus dans le Web Social,2016,fr,3,catégorisation désambiguïsation intérêt individu web social,9,Extraction d’information et analyse documentaire web
155,Clustering par apprentissage de distance guidé par des préférences sur les attributs,2016,fr,5,clustering apprentissage distance guider préférence attribut,4,Apprentissage automatique et réseaux de connaissances
157,Combinaison de méthodes numériques et symboliques pour l'analyse de données métabolomiques,2016,fr,4,combinaison méthode numérique symbolique analyse donnée métabolomique,3,Data mining et gestion de flux de données
158,Concept drift vs suicide: comment l'un peut prévenir l'autre?,2016,fr,3,concept drift v suicid pouvoir prévenir,4,Apprentissage automatique et réseaux de connaissances
159,Construction incrémentale d'une structure hiérarchique pour l'exploration visuelle et interactive de larges collections d'images,2016,fr,4,construction incrémental structure hiérarchique exploration visuel interactif large collection image,7,Visualisation et exploration interactive de données
160,Contributions à la coloration des hypergraphes basées sur les traverses minimales,2016,fr,3,contribution coloration hypergraphe baser traverse minimal,4,Apprentissage automatique et réseaux de connaissances
161,Découverte de labels dupliqués par l'exploration du treillis des classifieurs binaires,2016,fr,4,découverte label dupliquer exploration treillis classifieur binaire,4,Apprentissage automatique et réseaux de connaissances
162,Découverte de motifs intelligibles et caractéristiques d'anomalies dans les traces unitaires,2016,fr,4,découverte motif intelligible caractéristique anomalie trace unitaire,1,Analyse de motifs et séquences dans les données
163,Défi EGC 2016 : Analyse par Motifs Fréquents et Topic Modeling,2016,fr,4,défi egc analyse motif fréquent topic modeling,1,Analyse de motifs et séquences dans les données
164,Défi EGC 2016 Vues Conceptuelles des Collaborations aux Conférences EGC depuis 2004: Une modélisation descriptive,2016,fr,1,défi egc vue conceptuelle collaboration conférence egc modélisation descriptif,4,Apprentissage automatique et réseaux de connaissances
165,Détection de données aberrantes à partir de motifs fréquents sans énumération exhaustive,2016,fr,2,détection donnée aberrant partir motif fréquent énumération exhaustif,1,Analyse de motifs et séquences dans les données
166,Détection de messages falsifiés de localisation de navires,2016,fr,3,détection message falsifier localisation navire,4,Apprentissage automatique et réseaux de connaissances
167,Enrichissement de schéma multidimensionnel en constellation grâce à la Classification Ascendante Hiérarchique,2016,fr,6,enrichissement schéma multidimensionnel constellation grâce classification ascendant hiérarchique,2,Aide à la décision et analyse multidimensionnelle
168,Évaluation et Prédiction de la Centralité de Groupes de Recherche dans un Réseau de Collaborations Scientifiques,2016,fr,4,évaluation prédiction centralité groupe recherche réseau collaborations scientifique,8,Recherche d’information et traitement d’images
169,Exploration des Données du Défi EGC 2016 à l'aide d'un Système d'Information Logique,2016,fr,4,exploration donnée défi egc aide système information logique,2,Aide à la décision et analyse multidimensionnelle
170,Extension de C-SPARQL pour l'échantillonnage de flux de graphes RDF,2016,fr,3,extension c sparql échantillonnage flux graphe rdf,4,Apprentissage automatique et réseaux de connaissances
171,Extraction automatique d'affixes pour la reconnaissance d'entités nommées chimiques,2016,fr,4,extraction automatique affixe reconnaissance entité nommer chimique,9,Extraction d’information et analyse documentaire web
172,Extraction de clés de liage de données (résumé étendu),2016,fr,1,extraction clé liage donnée résumé étendu,9,Extraction d’information et analyse documentaire web
173,Extraction de commentaires utilisateurs sur le Web,2016,fr,3,extraction commentaire utilisateur web,9,Extraction d’information et analyse documentaire web
174,Extraction de connaissances dans les Systèmes d'Information Pervasifs par l'Analyse Formelle de Concepts,2016,fr,3,extraction connaissance système information pervasifs analyse formelle concepts,9,Extraction d’information et analyse documentaire web
175,Fabrique logicielle de réseaux sociaux spécialisés (aspects fonctionnels),2016,fr,3,fabrique logiciel réseau social spécialiser aspect fonctionnel,4,Apprentissage automatique et réseaux de connaissances
177,FODOMUST: une plateforme pour la fouille de données multistratégie multitemporelle,2016,fr,2,fodomust plateforme fouille donnée multistratégi multitemporell,3,Data mining et gestion de flux de données
178,Fouille de motifs séquentiels avec ASP,2016,fr,4,fouille motif séquentiel asp,1,Analyse de motifs et séquences dans les données
179,Fusion de données redondantes : une approche explicative,2016,fr,2,fusion donnée redondant approche explicatif,3,Data mining et gestion de flux de données
180,Génération de contraintes pour le clustering à partir d'une ontologie - Application à la classification d'images satellites,2016,fr,5,génération contrainte clustering partir ontologie application classification image satellite,8,Recherche d’information et traitement d’images
181,Identification de Classes Sémantiques Basée sur des Mesures de Proximité Sémantique,2016,fr,2,identification classe sémantique basée mesure proximité sémantique,4,Apprentissage automatique et réseaux de connaissances
182,Intégration de connaissances lexicales et sémantiques pour l'analyse de sentiments dans les SMS,2016,fr,3,intégration connaissance lexical sémantique analyse sentiment sm,7,Visualisation et exploration interactive de données
183,Intégration des Influences Géographique et Temporelle pour la Recommandation de Points d'Intérêt,2016,fr,3,intégration influence géographique temporelle recommandation point intérêt,7,Visualisation et exploration interactive de données
