id,title,year,language,Nb_authors,Nb_male,Nb_female,theme,keywords,title_clean
19,Contraintes prescriptives compatibles avec OWL2-ER pour évaluer la complétude d'ontologies,2018,fr,2,2,2,Web Sémantique,pas encore,contraintes prescriptive compatible évaluer complétude ontologie
20,Contribution à l'étude de la distributivité d'un treillis de concepts,2018,fr,4,4,4,Analyse de Graphes,pas encore,contribution étude distributivité treillis concept
21,Découverte de motifs graduels partiellement ordonnés : application aux données d'expériences scientifiques,2018,fr,3,3,3,Fouille de Motifs,pas encore,découverte motif graduel partiellemer ordonner application donnée expérience scientifique
22,Définir les catégories de DBpédia avec des règles d'associations et des redescriptions,2018,fr,5,5,5,Règles d'Association,pas encore,définir catégorie dbpédia règle association redescription
23,Détection de Singularités en temps-réel par combinaison d'apprentissage automatique et web sémantique basés sur Spark,2018,fr,4,4,4,Web Mining,pas encore,détection singularité temps réel combinaison apprentissage automatique web sémantique baser spark
24,Echantillonnage de motifs séquentiels sous contrainte sur la norme,2018,fr,5,5,5,Fouille de Motifs,pas encore,echantillonnage motif séquentiel sou contraindre norme
25,eDOI : exploration itérative de grands graphes multi-couches basée sur une mesure de l'intérêt de l'utilisateur,2018,fr,4,4,4,Analyse de Graphes,pas encore,edoi exploration itératif grand graphe baser mesure intérêt utilisateur
26,Elaboration et utilisation d'une base de connaissances d'un domaine technique.,2018,fr,2,2,2,Ingénierie des Données,pas encore,elaboration utilisation base connaissance domaine technique
27,Élimination des liens inter-langues erronés dans Wikipédia,2018,fr,5,5,5,Analyse de Graphes,pas encore,élimination lien erroner wikipédia
28,Et si les réseaux sociaux pouvaient nous aider dans nos choix de carrière?,2018,fr,5,5,5,Analyse de Graphes,pas encore,réseau social pouvaient aider choix carrière
29,Étiquetage thématique automatisé de corpus par représentation sémantique,2018,fr,5,5,5,Analyse de Graphes,pas encore,étiquetage thématique automatiser corpus représentation sémantique
30,Évaluation comparative d'algorithmes de centralité pour la détection d'influenceurs,2018,fr,3,3,3,Analyse de Graphes,pas encore,évaluation comparatif algorithme centralité détection influenceur
31,Exploration et analyses multi-objectifs de séries temporelles de données météorologiques,2018,fr,3,3,3,Flux & Temporalité,pas encore,exploration analyse série temporel donnée météorologiquer
32,Extraction de chaînes cohérentes en vue de reconstuire la Trajectoire de l'information,2018,fr,4,4,4,Ingénierie des Données,pas encore,extraction chaîne cohérent vue reconstuire trajectoire information
33,Extraction de connaissances sur les défaillances de compteurs d'essieux,2018,fr,3,3,3,Ingénierie des Données,pas encore,extraction connaissance défaillance compteur essieu
34,Fouille de Motifs Graduels Fermés Fréquents Sous Contrainte de la Temporalité,2018,fr,5,5,5,Fouille de Motifs,pas encore,fouille motif graduel fermés fréquent sou contrainte temporalité
35,Fouille de motifs temporels négatifs,2018,fr,5,5,5,Flux & Temporalité,pas encore,fouille motif temporel négatif
36,Interrogation de données structurellement hétérogènes dans les bases de données orientées documents,2018,fr,4,4,4,Entrepôts de Données,pas encore,interrogation donnée structurellement hétérogène base donnée orienter document
37,KTI-MOOC: un système de recommandation pour la personnalisation du processus d'échange d'informations dans les MOOCs,2018,fr,2,2,2,Analyse de Graphes,pas encore,kti mooc système recommandation personnalisation processus échange information mooc
38,L'exploitation de données contextuelles pour la recommandation d'hôtels,2018,fr,3,3,3,Entrepôts de Données,pas encore,exploitation donnée contextuel recommandation hôtel
39,L'ontologie OntoBiotope pour l'étude de la biodiversité microbienne,2018,fr,7,7,7,Web Sémantique,pas encore,ontologie ontobiotop étude biodiversité microbien
41,Mainmise sur les médias et suivi de communautés dans les graphes dynamiques,2018,fr,3,3,3,Analyse de Graphes,pas encore,mainmise média communauté graphe dynamique
43,Méta-analyse ordinale d'enquêtes d'opinion Application aux usages de l'Internet des objets en entreprise,2018,fr,4,4,4,Analyse de Graphes,pas encore,ordinal enquête opinion application usage internet objet entreprise
44,Méthode basée sur les ensembles approximatifs pour l'apprentissage incrémental en présence des données déséquilibrées,2018,fr,2,2,2,Entrepôts de Données,pas encore,méthode baser ensemble approximatif apprentissage incrémental présence donnée déséquilibrer
45,Méthode d'Apprentissage pour Extraire les Localisations dans les MicroBlogs,2018,fr,2,2,2,Analyse de Graphes,pas encore,méthode apprentissage extraire localisation microblog
46,Modélisation des métadonnées d'un data lake en data vault,2018,fr,3,3,3,Analyse de Graphes,pas encore,modélisation métadonnée data lak data vault
47,NFB: protocole de Notarisation des Documents dans la Blockchain,2018,fr,3,3,3,Recherche d'Information,pas encore,nfb protocole notarisation document blockchain
48,Nouveau Modèle de Sélection de Caractéristiques basé sur la Théorie des Ensembles Approximatifs pour les Données Massives,2018,fr,4,4,4,Entrepôts de Données,pas encore,modèle sélection caractéristique baser théorie ensemble approximatif donnée massif
49,PALM: Un algorithme parallèle pour extraire des clusters de liens dans les réseaux sociaux,2018,fr,3,3,3,Analyse de Graphes,pas encore,palm algorithme parallèle extraire cluster lien réseau social
50,Peerus Review: Un outil de recherche d'experts scientifiques,2018,fr,5,5,5,Analyse de Graphes,pas encore,peerus review outil recherche expert scientifique
51,PerForecast : un outil de prévision de l'évolution de séries temporelles pour le planning capacitaire,2018,fr,5,5,5,Flux & Temporalité,pas encore,perforecast outil prévision évolution série temporel planning capacitaire
52,Prédiction du Rayonnement Solaire par Apprentissage Automatique,2018,fr,3,3,3,Analyse de Graphes,pas encore,prédiction rayonnement solaire apprentissage automatique
53,Prétraitement de données spatialement imprécises pour une classification supervisée basée sur les images satellitaires,2018,fr,6,6,6,Classification & Clustering,pas encore,prétraitement donnée spatialement imprécis classification superviser baser image satellitaire
54,Prise en compte de la structure des documents pour une indexation performante,2018,fr,2,2,2,Recherche d'Information,pas encore,prise compte structure document indexation performant
55,Propositions pour améliorer une méthode de prédiction du succès d'une campagne de financement participatif,2018,fr,2,2,2,Analyse de Graphes,pas encore,proposition améliorer méthode prédiction succès campagne financement participatif
56,Qu'est-ce qu'un bon système d'apprentissage ? La réponse a évolué avec le temps. Et demain?,2018,fr,1,1,1,Analyse de Graphes,pas encore,bon système apprentissage réponse évoluer temps demain
58,Reconnaissance et indexation automatique des registres de la chancellerie française (1300-1483),2018,fr,1,1,1,Analyse de Graphes,pas encore,reconnaissance indexation automatique registre chancellerie français
60,Régression Laplacienne semi-supervisée pour la reconstitution des dates de pose des réseaux d'assainissement,2018,fr,3,3,3,Analyse de Graphes,pas encore,régression laplacien reconstitution date pose réseau assainissement
61,Réseau bayésien pour la gestion de l'obsolescence dans une base d'informations en vue de l'évaluation du risque de chute des personnes âgées,2018,fr,4,4,4,Analyse de Graphes,pas encore,réseau bayésien gestion obsolescence base information vue évaluation risque chute âgé
62,Savoir au dela de voir: vision artificielle et raisonnement logique,2018,fr,3,3,3,Analyse de Graphes,pas encore,savoir dela voir vision artificiel raisonnemer logique
63,Sémantique des données d'observation en neuro-imagerie selon un point de vue réaliste,2018,fr,2,2,2,Entrepôts de Données,pas encore,sémantique donnée observation point vue réaliste
65,Un modèle Bayésien de co-clustering de données mixtes,2018,fr,4,4,4,Entrepôts de Données,pas encore,modèle bayésien donnée mixter
66,Une approche sémantique hybride pour la recommandation des articles d'actualité à large échelle,2018,fr,3,3,3,Analyse de Graphes,pas encore,approche sémantique hybride recommandation article actualité large échell
67,Une méthode pour l'estimation désagrégée de données de population à l'aide de données ouvertes,2018,fr,3,3,3,Entrepôts de Données,pas encore,méthode estimation désagréger donnée population aide donnée
68,UNITEX/GRAMLAB: plateforme libre basée sur des lexiques et des grammaires pour le traitement des corpus textuels,2018,fr,3,3,3,Analyse de Graphes,pas encore,unitex gramlab plateform libre baser lexique grammaire traitement corpus textuel
69,Universal-endpoint.com : une plateforme d'accès simple au Web des Données,2018,fr,3,3,3,Web Mining,pas encore,plateforme accès simple web donnée
70,Utilisation de techniques de modélisation thématiques pour la détection de nouveauté dans des flux de données textuelles.,2018,fr,3,3,3,Entrepôts de Données,pas encore,utilisation technique modélisation thématique détection nouveauté flux donnée textuel
71,Visualisation dynamique de connaissances : application aux interactions entre facteurs de risque des maladies cardiovasculaires,2018,fr,3,3,3,Ingénierie des Données,pas encore,visualisation dynamique connaissance application interaction entrer facteur risque maladie cardiovasculaires
73,Analyse des dynamiques spatio-temporelles à partir de séries temporelles d'images satellitaires,2017,fr,3,3,3,Flux & Temporalité,pas encore,analyse dynamique spatio temporel partir série temporel image satellitaire
74,Analyse exploratoire de corpus textuels pour le journalisme d'investigation,2017,fr,3,3,3,Analyse de Graphes,pas encore,analyse exploratoire corpus textuel journalisme investigation
75,Anonymiser des données multidimensionnelles à l'aide du coclustering,2017,fr,3,3,3,Entrepôts de Données,pas encore,anonymiser donnée multidimensionnel aide coclustering
76,Application du coclustering à l'analyse exploratoire d'une table de données,2017,fr,4,4,4,Entrepôts de Données,pas encore,application coclustering analyse exploratoire table donnée
77,Application mobile pour l'évaluation d'un algorithme de calcul de distance entre des items musicaux,2017,fr,3,3,3,Analyse de Graphes,pas encore,application mobile évaluation algorithme calcul distance entrer item musical
78,Apprentissage d'espaces prétopologiques dans un cadre multi-instance pour la structuration de données,2017,fr,2,2,2,Entrepôts de Données,pas encore,apprentissage espace prétopologiquer cadre structuration donnée
79,Apprentissage de structures séquentielles pour l'extraction d'entités et de relations dans des textes d'appels d'offres,2017,fr,3,3,3,Ingénierie des Données,pas encore,apprentissage structure séquentiel extraction entité relation texte appel offre
80,Approche préventive pour une gestion élastique du traitement parallèle et distribué de flux de données,2017,fr,3,3,3,Entrepôts de Données,pas encore,approche préventif gestion élastique traitement parallèle distribuer flux donnée
81,Cadre d'Evaluation pour la Méta Analyse de Données,2017,fr,3,3,3,Entrepôts de Données,pas encore,cadre evaluation méta analyse donnée
82,Classification ascendante hiérarchique à noyaux et une application aux données textuelles,2017,fr,2,2,2,Classification & Clustering,pas encore,classification ascendant hiérarchique noyau application donnée textuel
83,Classification d'objets 3D par extraction aléatoire de sous-parties discriminantes pour l'étude du sous-sol en prospection pétrolière,2017,fr,4,4,4,Classification & Clustering,pas encore,classification objet extraction aléatoire discriminer étude prospection pétrolier
84,Classification multi-labels graduée: Apprendre les relations entre les labels ou limiter la propagation d'erreur ?,2017,fr,3,3,3,Classification & Clustering,pas encore,classification gradué apprendre relation entrer label limiter propagation erreur
85,Classification parcimonieuse pour l'aide à la reconnaissance de cibles radar,2017,fr,4,4,4,Classification & Clustering,pas encore,classification parcimonieux aide reconnaissance cible radar
86,Co-clustering de données mixtes à base des modèles de mélange,2017,fr,3,3,3,Entrepôts de Données,pas encore,donnée mixter base modèle mélange
87,Comparaison et Évaluation de Mesures de Similarité entre Concepts d'un Treillis,2017,fr,2,2,2,Analyse de Graphes,pas encore,comparaison évaluation mesure similarité entrer concepts treillis
88,Conception d'un modèle généraliste pour l'évaluation d'un test A/B,2017,fr,4,4,4,Analyse de Graphes,pas encore,conception modèle généraliste évaluation test b
89,Découverte de sous-groupes avec les arbres de recherche de Monte Carlo,2017,fr,4,4,4,Recherche d'Information,pas encore,découverte arbre recherche monte carlo
91,Défi EGC 2017: Modélisation Cost-Sensitive et Enrichissement de données,2017,fr,3,3,3,Entrepôts de Données,pas encore,défi egc modélisation cost sensitive enrichissement donnée
92,Description interactive de l'intérêt de l'utilisateur via l'échantillonnage de motifs,2017,fr,4,4,4,Fouille de Motifs,pas encore,description interactif intérêt utilisateur échantillonnage motif
93,Détection de fausses informations dans les réseaux sociaux : vers des approches multi-modales,2017,fr,3,3,3,Analyse de Graphes,pas encore,détection faux information réseau social approche
95,Evolution temporelle de communautés représentatives : mesures et visualisation,2017,fr,3,3,3,Flux & Temporalité,pas encore,evolution temporel communauté représentatif mesure visualisation
96,Expression des connaissances en langage naturel : singularité et normalité d'une sélection,2017,fr,3,3,3,Ingénierie des Données,pas encore,expression connaissance langage naturel singularité normalité sélection
97,Extraction automatique de paysages en imagerie satellitaire et enrichissement sémantique,2017,fr,6,6,6,Ingénierie des Données,pas encore,extraction automatique paysage imagerie satellitaire enrichissement sémantique
98,Extraction de chroniques discriminantes,2017,fr,4,4,4,Ingénierie des Données,pas encore,extraction chronique discriminant
99,Extraction de relations pour le peuplement d'une base de connaissance à partir de tweets,2017,fr,3,3,3,Ingénierie des Données,pas encore,extraction relation peuplement base connaissance partir tweet
100,Extraction des évolutions récurrentes dans un unique graphe dynamique attribué,2017,fr,3,3,3,Analyse de Graphes,pas encore,extraction évolution récurrent unique graphe dynamique attribuer
101,Extraction et chaînage supervisés de connaissances d'un corpus d'entretiens en histoire des sciences,2017,fr,3,3,3,Ingénierie des Données,pas encore,extraction chaînage superviser connaissance corpus entretien histoire science
102,Extraction et Inférence de Connaissances à partir d'Assemblages Mécaniques Définis par une Représentation CAO 3D,2017,fr,3,3,3,Ingénierie des Données,pas encore,extraction inférence connaissance partir assemblage mécaniques définis représentation cao
103,Face2Graph: Base de données graphe et visualisation pour l'annotation d'archives vidéos,2017,fr,3,3,3,Entrepôts de Données,pas encore,base donnée graph visualisation annotation archive vidéo
104,Faciliter les contributions personnelles pour préserver la mémoire des événements historiques,2017,fr,3,3,3,Analyse de Graphes,pas encore,faciliter contribution personnel préserver mémoire événement historique
105,Génération de RDF à partir de sources de données aux formats hétérogènes,2017,fr,3,3,3,Entrepôts de Données,pas encore,génération rdf partir source donnée format hétérogène
106,Gestion de Connaissances en Temps Réel depuis des Flux Massifs de Données et Apprentissage Automatique,2017,fr,3,3,3,Ingénierie des Données,pas encore,gestion connaissance temps réel flux massif donnée apprentissage automatique
107,Interopérabilité sémantique libérale pour les services et les objets,2017,fr,1,1,1,Analyse de Graphes,pas encore,interopérabilité sémantique libéral service objet
108,K-Spectral Centroïd pour des données massives,2017,fr,4,4,4,Entrepôts de Données,pas encore,k spectral centroïd donnée massif
111,Mesure de la confiance dans les systèmes d'information : application aux données de navires,2017,fr,3,3,3,Entrepôts de Données,pas encore,mesure confiance système information application donnée navire
112,Mesure de Similarité entre Treillis Basée sur des Correspondances Explicites,2017,fr,1,1,1,Analyse de Graphes,pas encore,mesure similarité entrer treillis basée correspondance explicite
113,Nouveau modèle pour un passage à l'échelle de la 0-subsomption,2017,fr,4,4,4,Analyse de Graphes,pas encore,modèle passage échelle
114,Optimisation des performances dans les entrepôts de données NoSQL en colonnes,2017,fr,2,2,2,Entrepôts de Données,pas encore,optimisation performance entrepôt donnée nosql colonne
115,Pharmacovigilance du Web Social par une approche fondée sur les bases de connaissances du Web Sémantique,2017,fr,2,2,2,Web Mining,pas encore,pharmacovigilance web social approche fonder base connaissance web sémantique
117,Prédiction de défauts dans les arbres du parc végétal Grenoblois et préconisations pour les futures plantations,2017,fr,3,3,3,Analyse de Graphes,pas encore,prédiction défaut arbre parc végétal grenoblois préconisation future plantation
118,Prédiction du montant levé lors d'une campagne de financement participatif par la méthode des plus proches voisins,2017,fr,3,3,3,Analyse de Graphes,pas encore,prédiction montant lever campagne financement participatif méthode voisin
119,Prévision à court terme des flux de voyageurs du réseau ferré urbain : une approche par les réseaux bayésiens dynamiques,2017,fr,3,3,3,Analyse de Graphes,pas encore,prévision court terme flux voyageur réseau ferré urbain approche réseau bayésien dynamique
120,Prototype de clustering exploratoire pour l'aide à la segmentation des clients,2017,fr,5,5,5,Analyse de Graphes,pas encore,prototype clustering exploratoire aide segmentation client
121,Recommandations et prédictions de préférences basées sur la combinaison de données sémantiques et de folksonomie,2017,fr,3,3,3,Entrepôts de Données,pas encore,recommandation prédiction préférence baser combinaison donnée sémantique folksonomie
122,Reconnaissance de sections et d'entités dans les décisions de justice : application des modèles probabilistes HMM et CRF,2017,fr,5,5,5,Analyse de Graphes,pas encore,reconnaissance section entité décision justice application modèle probabiliste hmm crf
123,Sélection ciblée des descripteurs visuels pour la recherche d'images: une approche basée sur les règles d'association,2017,fr,4,4,4,Règles d'Association,pas encore,sélection cibler descripteur visuel recherche image approche baser règle association
124,Sélection et transformation de variables pour la classification Multi-Label par une approche MDL,2017,fr,3,3,3,Classification & Clustering,pas encore,sélection transformation variable classification approche mdl
125,Subspace Clustering et Visualisation des Flux de Données,2017,fr,3,3,3,Entrepôts de Données,pas encore,subspace clustering visualisation flux donnée
126,Suivi de l'évolution de Clusters de Liens dans des Réseaux Sociaux Dynamiques,2017,fr,2,2,2,Analyse de Graphes,pas encore,évolution cluster lien réseau social dynamique
127,Support uniforme de types de données personnalisés dans RDF et SPARQL,2017,fr,2,2,2,Entrepôts de Données,pas encore,support uniforme type donnée personnaliser rdf sparql
128,Sur l'évaluation et l'élaboration d'un jeu de données de référence de bonne qualité en télédétection,2017,fr,4,4,4,Entrepôts de Données,pas encore,évaluation élaboration jeu donnée référence bon qualité télédétection
129,Un critère d'évaluation pour les K-moyennes prédictives,2017,fr,3,3,3,Analyse de Graphes,pas encore,critère évaluation k moyen prédictif
130,Un générateur de réseaux dynamiques attribués avec structure communautaire,2017,fr,4,4,4,Analyse de Graphes,pas encore,générateur réseau dynamique attribuer structure communautaire
131,Un Modèle de Factorisation de Poisson pour la Recommandation de Points d'Intérêt,2017,fr,3,3,3,Analyse de Graphes,pas encore,modèle factorisation poisson recommandation point intérêt
132,Une Approche d'Extraction de Motifs Graduels (Fermés) Fréquents Sous Contrainte de la Temporalité,2017,fr,6,6,6,Fouille de Motifs,pas encore,approche extraction motif graduels fermés fréquent sou contrainte temporalité
133,Une approche innovante pour la compréhension des comportements de diffusion : personnalité et neutralité,2017,fr,3,3,3,Analyse de Graphes,pas encore,approche innovant compréhension comportement diffusion personnalité neutralité
134,Une approche logique pour la fouille de règles d'association,2017,fr,4,4,4,Règles d'Association,pas encore,approche logique fouille règle association
135,Une approche sociologique de la place des calculs dans les mondes numériques,2017,fr,1,1,1,Analyse de Graphes,pas encore,approche sociologique place calcul monde numérique
136,Une mesure d'expertise pour le crowdsourcing,2017,fr,5,5,5,Analyse de Graphes,pas encore,mesure expertise crowdsourcing
137,Une métrique de sélection de variables appliquée à la centralité et à la détection des rôles communautaires,2017,fr,2,2,2,Analyse de Graphes,pas encore,métrique sélection variable appliquer centralité détection rôle communautaire
138,Une plateforme d'analyse d'opinions en temps réel sur Twitter avec recommandation,2017,fr,4,4,4,Analyse de Graphes,pas encore,plateforme analyse opinion temps réel twitter recommandation
139,Veille d'Information sur le Web avec Re-Watch,2017,fr,2,2,2,Web Mining,pas encore,veille information web
140,Vers un échantillonnage de flux de données transformé,2017,fr,2,2,2,Entrepôts de Données,pas encore,échantillonnage flux donnée transformer
141,Vers une instance française de NELL : chaîne TLN multilingue et modélisation d'ontologie,2017,fr,2,2,2,Web Sémantique,pas encore,instance français nell chaîne tln multilingue modélisation ontologie
142,VIPE : un outil interactif de classification multilabel de messages courts,2017,fr,4,4,4,Classification & Clustering,pas encore,vipe outil interactif classification multilabel message court
145,Adaptation des Mappings entre Systèmes d'Organisation de la Connaissance du domaine Biomédical,2016,fr,1,1,1,Ingénierie des Données,pas encore,adaptation mapping entrer système organisation connaissance domaine biomédical
146,Analyse d'activité et exposition de la vie privée sur les médias sociaux,2016,fr,6,6,6,Analyse de Graphes,pas encore,analyse activité exposition vie priver média social
148,Analyse géographique de séries de publications : application aux conférences EGC,2016,fr,5,5,5,Analyse de Graphes,pas encore,analyse géographique série publication application conférence egc
149,Analyses synchroniques et diachroniques des thématiques EGC- Défi ECG 2016,2016,fr,2,2,2,Analyse de Graphes,pas encore,analyses synchronique diachronique thématique défi ecg
150,"Apprentissage du signal prix de l'électricité. Arbres de régression, séries temporelles et prédictions à long terme",2016,fr,3,3,3,Recherche d'Information,pas encore,apprentissage signal prix électricité arbre régression sérier temporel prédictier long terme
151,Approche de Clustering de Flux basée sur les Graphes de Voisinage,2016,fr,3,3,3,Analyse de Graphes,pas encore,approche clustering flux baser graphe voisinage
152,Arbres de modèles et flux de données incomplets,2016,fr,4,4,4,Entrepôts de Données,pas encore,arbre modèle flux donnée incomplet
153,Associer argumentation et simulation en aide à la décision : Illustration en agroalimentaire,2016,fr,3,3,3,Analyse de Graphes,pas encore,associer argumentation simulation aide décision illustration agroalimentaire
154,Caractérisation d'instances d'apprentissage pour un méta-mining évolutionnaire,2016,fr,5,5,5,Analyse de Graphes,pas encore,caractérisation instance apprentissage évolutionnair
155,Catégorisation et Désambiguïsation des Intérêts des Individus dans le Web Social,2016,fr,3,3,3,Web Mining,pas encore,catégorisation désambiguïsation intérêt individu web social
156,Clustering par apprentissage de distance guidé par des préférences sur les attributs,2016,fr,5,5,5,Analyse de Graphes,pas encore,clustering apprentissage distance guider préférence attribut
158,Combinaison de méthodes numériques et symboliques pour l'analyse de données métabolomiques,2016,fr,4,4,4,Entrepôts de Données,pas encore,combinaison méthode numérique symbolique analyse donnée métabolomique
159,Concept drift vs suicide: comment l'un peut prévenir l'autre?,2016,fr,3,3,3,Analyse de Graphes,pas encore,concept drift v suicid pouvoir prévenir
160,Construction incrémentale d'une structure hiérarchique pour l'exploration visuelle et interactive de larges collections d'images,2016,fr,4,4,4,Analyse de Graphes,pas encore,construction incrémental structure hiérarchique exploration visuel interactif large collection image
161,Contributions à la coloration des hypergraphes basées sur les traverses minimales,2016,fr,3,3,3,Analyse de Graphes,pas encore,contribution coloration hypergraphe baser traverse minimal
162,Découverte de labels dupliqués par l'exploration du treillis des classifieurs binaires,2016,fr,4,4,4,Analyse de Graphes,pas encore,découverte label dupliquer exploration treillis classifieur binaire
163,Découverte de motifs intelligibles et caractéristiques d'anomalies dans les traces unitaires,2016,fr,4,4,4,Fouille de Motifs,pas encore,découverte motif intelligible caractéristique anomalie trace unitaire
164,Défi EGC 2016 : Analyse par Motifs Fréquents et Topic Modeling,2016,fr,4,4,4,Fouille de Motifs,pas encore,défi egc analyse motif fréquent topic modeling
165,Défi EGC 2016 Vues Conceptuelles des Collaborations aux Conférences EGC depuis 2004: Une modélisation descriptive,2016,fr,1,1,1,Analyse de Graphes,pas encore,défi egc vues conceptuelle collaboration conférence egc modélisation descriptif
166,Détection de données aberrantes à partir de motifs fréquents sans énumération exhaustive,2016,fr,2,2,2,Fouille de Motifs,pas encore,détection donnée aberrer partir motif fréquent énumération exhaustif
167,Détection de messages falsifiés de localisation de navires,2016,fr,3,3,3,Analyse de Graphes,pas encore,détection message falsifier localisation navire
168,Enrichissement de schéma multidimensionnel en constellation grâce à la Classification Ascendante Hiérarchique,2016,fr,6,6,6,Classification & Clustering,pas encore,enrichissement schéma multidimensionnel constellation grâce classification ascendante hiérarchique
169,Évaluation et Prédiction de la Centralité de Groupes de Recherche dans un Réseau de Collaborations Scientifiques,2016,fr,4,4,4,Analyse de Graphes,pas encore,évaluation prédiction centralité groupe recherche réseau collaborations scientifiques
170,Exploration des Données du Défi EGC 2016 à l'aide d'un Système d'Information Logique,2016,fr,4,4,4,Entrepôts de Données,pas encore,exploration donnée défi egc aide système information logique
171,Extension de C-SPARQL pour l'échantillonnage de flux de graphes RDF,2016,fr,3,3,3,Analyse de Graphes,pas encore,extension c sparql échantillonnage flux graphe rdf
172,Extraction automatique d'affixes pour la reconnaissance d'entités nommées chimiques,2016,fr,4,4,4,Ingénierie des Données,pas encore,extraction automatique affixe reconnaissance entité nommer chimique
173,Extraction de clés de liage de données (résumé étendu),2016,fr,1,1,1,Ingénierie des Données,pas encore,extraction clé liage donnée résumé étendu
174,Extraction de commentaires utilisateurs sur le Web,2016,fr,3,3,3,Web Mining,pas encore,extraction commentaire utilisateur web
175,Extraction de connaissances dans les Systèmes d'Information Pervasifs par l'Analyse Formelle de Concepts,2016,fr,3,3,3,Ingénierie des Données,pas encore,extraction connaissance système information pervasif analyse formelle concepts
176,Fabrique logicielle de réseaux sociaux spécialisés (aspects fonctionnels),2016,fr,3,3,3,Analyse de Graphes,pas encore,fabrique logiciel réseau social spécialiser aspect fonctionnel
178,FODOMUST: une plateforme pour la fouille de données multistratégie multitemporelle,2016,fr,2,2,2,Entrepôts de Données,pas encore,fodomust plateforme fouille donnée multistratégi multitemporell
179,Fouille de motifs séquentiels avec ASP,2016,fr,4,4,4,Fouille de Motifs,pas encore,fouille motif séquentiel asp
180,Fusion de données redondantes : une approche explicative,2016,fr,2,2,2,Entrepôts de Données,pas encore,fusion donnée redondant approche explicatif
181,Génération de contraintes pour le clustering à partir d'une ontologie - Application à la classification d'images satellites,2016,fr,5,5,5,Web Sémantique,pas encore,génération contrainte clustering partir ontologie application classification image satellite
182,Identification de Classes Sémantiques Basée sur des Mesures de Proximité Sémantique,2016,fr,2,2,2,Analyse de Graphes,pas encore,identification classe sémantique basée mesure proximité sémantique
183,Intégration de connaissances lexicales et sémantiques pour l'analyse de sentiments dans les SMS,2016,fr,3,3,3,Ingénierie des Données,pas encore,intégration connaissance lexical sémantique analyse sentiment sm
184,Intégration des Influences Géographique et Temporelle pour la Recommandation de Points d'Intérêt,2016,fr,3,3,3,Analyse de Graphes,pas encore,intégration influence géographique temporelle recommandation point intérêt
185,Khiops: outil d'apprentissage supervisé automatique pour la fouille de grandes bases de données multi-tables,2016,fr,1,1,1,Entrepôts de Données,pas encore,khiops outil apprentissage superviser automatique fouille grand base donnée
186,L'analyse relationnelle de concepts pour la fouille de données temporelles – Application à l'étude de données hydroécologiques,2016,fr,5,5,5,Entrepôts de Données,pas encore,analyse relationnel concept fouille donnée temporel application étude donnée hydroécologique
