id_article,title,year,language,Nb_authors,Nb_male,Nb_female,theme
31,Exploration et analyses multi-objectifs de séries temporelles de données météorologiques,2018,fr,3,2,1,Analyse de séries temporelles et données spatio-temporelles
32,Extraction de chaînes cohérentes en vue de reconstuire la Trajectoire de l'information,2018,fr,4,2,2,Règles d’association et génération de connaissances
33,Extraction de connaissances sur les défaillances de compteurs d'essieux,2018,fr,3,3,0,Règles d’association et génération de connaissances
34,Fouille de Motifs Graduels Fermés Fréquents Sous Contrainte de la Temporalité,2018,fr,5,4,1,Aide à la décision et analyse multidimensionnelle
35,Fouille de motifs temporels négatifs,2018,fr,5,4,1,Analyse de séries temporelles et données spatio-temporelles
36,Interrogation de données structurellement hétérogènes dans les bases de données orientées documents,2018,fr,3,3,0,Analyse de motifs et séquences dans les données
37,KTI-MOOC: un système de recommandation pour la personnalisation du processus d'échange d'informations dans les MOOCs,2018,fr,2,0,2,Apprentissage automatique et réseaux de connaissances
38,L'exploitation de données contextuelles pour la recommandation d'hôtels,2018,fr,3,2,1,Analyse de motifs et séquences dans les données
39,L'ontologie OntoBiotope pour l'étude de la biodiversité microbienne,2018,fr,7,3,4,Ontologies et traitement sémantique du texte
40,Long-range influences in (social) networks,2018,en,1,1,0,Data mining et gestion de flux de données
41,Mainmise sur les médias et suivi de communautés dans les graphes dynamiques,2018,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
42,Mean-shift : Clustering scalable et distribué,2018,en,4,3,1,Règles d’association et génération de connaissances
43,Méta-analyse ordinale d'enquêtes d'opinion Application aux usages de l'Internet des objets en entreprise,2018,fr,4,2,2,Apprentissage automatique et réseaux de connaissances
44,Méthode basée sur les ensembles approximatifs pour l'apprentissage incrémental en présence des données déséquilibrées,2018,fr,2,0,2,Analyse de motifs et séquences dans les données
45,Méthode d'Apprentissage pour Extraire les Localisations dans les MicroBlogs,2018,fr,2,0,2,Apprentissage automatique et réseaux de connaissances
46,Modélisation des métadonnées d'un data lake en data vault,2018,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
47,NFB: protocole de Notarisation des Documents dans la Blockchain,2018,fr,3,1,2,Visualisation et exploration interactive de données
48,Nouveau Modèle de Sélection de Caractéristiques basé sur la Théorie des Ensembles Approximatifs pour les Données Massives,2018,fr,4,2,2,Analyse de motifs et séquences dans les données
49,PALM: Un algorithme parallèle pour extraire des clusters de liens dans les réseaux sociaux,2018,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
50,Peerus Review: Un outil de recherche d'experts scientifiques,2018,fr,5,5,0,Apprentissage automatique et réseaux de connaissances
51,PerForecast : un outil de prévision de l'évolution de séries temporelles pour le planning capacitaire,2018,fr,5,5,0,Analyse de séries temporelles et données spatio-temporelles
52,Prédiction du Rayonnement Solaire par Apprentissage Automatique,2018,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
53,Prétraitement de données spatialement imprécises pour une classification supervisée basée sur les images satellitaires,2018,fr,6,3,3,Recherche d’information et traitement d’images
54,Prise en compte de la structure des documents pour une indexation performante,2018,fr,2,2,0,Visualisation et exploration interactive de données
55,Propositions pour améliorer une méthode de prédiction du succès d'une campagne de financement participatif,2018,fr,2,2,0,Apprentissage automatique et réseaux de connaissances
56,Qu'est-ce qu'un bon système d'apprentissage ? La réponse a évolué avec le temps. Et demain?,2018,fr,1,1,0,Apprentissage automatique et réseaux de connaissances
57,Recommendation-based Keyword Search over Relational Databases,2018,en,3,1,2,Apprentissage automatique et réseaux de connaissances
58,Reconnaissance et indexation automatique des registres de la chancellerie française (1300-1483),2018,fr,1,1,0,Apprentissage automatique et réseaux de connaissances
59,Reframing for Non-Linear Dataset Shift,2018,en,4,4,0,Data mining et gestion de flux de données
60,Régression Laplacienne semi-supervisée pour la reconstitution des dates de pose des réseaux d'assainissement,2018,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
61,Réseau bayésien pour la gestion de l'obsolescence dans une base d'informations en vue de l'évaluation du risque de chute des personnes âgées,2018,fr,4,1,3,Apprentissage automatique et réseaux de connaissances
62,Savoir au dela de voir: vision artificielle et raisonnement logique,2018,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
63,Sémantique des données d'observation en neuro-imagerie selon un point de vue réaliste,2018,fr,2,1,1,Analyse de motifs et séquences dans les données
64,Temporal hints in the cultural heritage discourse: what can an ontology of time as it is worded reveal?,2018,en,3,1,2,Data mining et gestion de flux de données
65,Un modèle Bayésien de co-clustering de données mixtes,2018,fr,4,3,1,Analyse de motifs et séquences dans les données
66,Une approche sémantique hybride pour la recommandation des articles d'actualité à large échelle,2018,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
67,Une méthode pour l'estimation désagrégée de données de population à l'aide de données ouvertes,2018,fr,3,3,0,Analyse de motifs et séquences dans les données
68,UNITEX/GRAMLAB: plateforme libre basée sur des lexiques et des grammaires pour le traitement des corpus textuels,2018,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
69,Universal-endpoint.com : une plateforme d'accès simple au Web des Données,2018,fr,3,2,1,Extraction d’information et analyse documentaire web
70,Utilisation de techniques de modélisation thématiques pour la détection de nouveauté dans des flux de données textuelles.,2018,fr,3,3,0,Analyse de motifs et séquences dans les données
71,Visualisation dynamique de connaissances : application aux interactions entre facteurs de risque des maladies cardiovasculaires,2018,fr,3,1,2,Règles d’association et génération de connaissances
72,A Hybrid Approach for Detecting Influencers in Social Media,2017,en,7,4,3,Analyse de motifs et séquences dans les données
73,Analyse des dynamiques spatio-temporelles à partir de séries temporelles d'images satellitaires,2017,fr,3,1,2,Analyse de séries temporelles et données spatio-temporelles
74,Analyse exploratoire de corpus textuels pour le journalisme d'investigation,2017,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
75,Anonymiser des données multidimensionnelles à l'aide du coclustering,2017,fr,3,2,1,Analyse de motifs et séquences dans les données
76,Application du coclustering à l'analyse exploratoire d'une table de données,2017,fr,4,3,1,Analyse de motifs et séquences dans les données
77,Application mobile pour l'évaluation d'un algorithme de calcul de distance entre des items musicaux,2017,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
78,Apprentissage d'espaces prétopologiques dans un cadre multi-instance pour la structuration de données,2017,fr,2,2,0,Analyse de motifs et séquences dans les données
79,Apprentissage de structures séquentielles pour l'extraction d'entités et de relations dans des textes d'appels d'offres,2017,fr,3,3,0,Règles d’association et génération de connaissances
80,Approche préventive pour une gestion élastique du traitement parallèle et distribué de flux de données,2017,fr,3,3,0,Analyse de motifs et séquences dans les données
81,Cadre d'Evaluation pour la Méta Analyse de Données,2017,fr,3,1,2,Analyse de motifs et séquences dans les données
82,Classification ascendante hiérarchique à noyaux et une application aux données textuelles,2017,fr,2,1,1,Recherche d’information et traitement d’images
83,Classification d'objets 3D par extraction aléatoire de sous-parties discriminantes pour l'étude du sous-sol en prospection pétrolière,2017,fr,4,4,0,Recherche d’information et traitement d’images
84,Classification multi-labels graduée: Apprendre les relations entre les labels ou limiter la propagation d'erreur ?,2017,fr,3,3,0,Recherche d’information et traitement d’images
85,Classification parcimonieuse pour l'aide à la reconnaissance de cibles radar,2017,fr,4,4,0,Recherche d’information et traitement d’images
86,Co-clustering de données mixtes à base des modèles de mélange,2017,fr,3,2,1,Analyse de motifs et séquences dans les données
87,Comparaison et Évaluation de Mesures de Similarité entre Concepts d'un Treillis,2017,fr,2,2,0,Apprentissage automatique et réseaux de connaissances
88,Conception d'un modèle généraliste pour l'évaluation d'un test A/B,2017,fr,4,2,2,Apprentissage automatique et réseaux de connaissances
89,Découverte de sous-groupes avec les arbres de recherche de Monte Carlo,2017,fr,4,4,0,Visualisation et exploration interactive de données
90,Deep Dive on Smart Cities by Scaling Reasoning and Interpreting the Semantics of IoT,2017,en,1,1,0,Visualisation et exploration interactive de données
91,Défi EGC 2017: Modélisation Cost-Sensitive et Enrichissement de données,2017,fr,3,3,0,Analyse de motifs et séquences dans les données
92,Description interactive de l'intérêt de l'utilisateur via l'échantillonnage de motifs,2017,fr,4,3,1,Aide à la décision et analyse multidimensionnelle
93,Détection de fausses informations dans les réseaux sociaux : vers des approches multi-modales,2017,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
94,Enhanced user-user collaborative filtering recommendation algorithm based on semantic ratings,2017,en,3,2,0,Extraction d’information et analyse documentaire web
95,Evolution temporelle de communautés représentatives : mesures et visualisation,2017,fr,3,2,1,Analyse de séries temporelles et données spatio-temporelles
96,Expression des connaissances en langage naturel : singularité et normalité d'une sélection,2017,fr,3,3,0,Règles d’association et génération de connaissances
97,Extraction automatique de paysages en imagerie satellitaire et enrichissement sémantique,2017,fr,6,3,3,Règles d’association et génération de connaissances
98,Extraction de chroniques discriminantes,2017,fr,4,4,0,Règles d’association et génération de connaissances
99,Extraction de relations pour le peuplement d'une base de connaissance à partir de tweets,2017,fr,3,1,2,Règles d’association et génération de connaissances
100,Extraction des évolutions récurrentes dans un unique graphe dynamique attribué,2017,fr,3,1,1,Apprentissage automatique et réseaux de connaissances
101,Extraction et chaînage supervisés de connaissances d'un corpus d'entretiens en histoire des sciences,2017,fr,3,3,0,Règles d’association et génération de connaissances
102,Extraction et Inférence de Connaissances à partir d'Assemblages Mécaniques Définis par une Représentation CAO 3D,2017,fr,3,3,0,Règles d’association et génération de connaissances
103,Face2Graph: Base de données graphe et visualisation pour l'annotation d'archives vidéos,2017,fr,3,3,0,Analyse de motifs et séquences dans les données
104,Faciliter les contributions personnelles pour préserver la mémoire des événements historiques,2017,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
105,Génération de RDF à partir de sources de données aux formats hétérogènes,2017,fr,3,3,0,Analyse de motifs et séquences dans les données
106,Gestion de Connaissances en Temps Réel depuis des Flux Massifs de Données et Apprentissage Automatique,2017,fr,3,3,0,Règles d’association et génération de connaissances
107,Interopérabilité sémantique libérale pour les services et les objets,2017,fr,1,1,0,Apprentissage automatique et réseaux de connaissances
108,K-Spectral Centroïd pour des données massives,2017,fr,4,3,1,Analyse de motifs et séquences dans les données
109,Machine Learning Based Classification of Android Apps through Text Features,2017,en,3,2,1,Data mining et gestion de flux de données
110,Machine Learning for the Semantic Web: filling the gaps in Ontology Mining,2017,en,1,0,1,Data mining et gestion de flux de données
111,Mesure de la confiance dans les systèmes d'information : application aux données de navires,2017,fr,3,3,0,Analyse de motifs et séquences dans les données
112,Mesure de Similarité entre Treillis Basée sur des Correspondances Explicites,2017,fr,1,1,0,Apprentissage automatique et réseaux de connaissances
113,Nouveau modèle pour un passage à l'échelle de la 0-subsomption,2017,fr,4,2,1,Apprentissage automatique et réseaux de connaissances
114,Optimisation des performances dans les entrepôts de données NoSQL en colonnes,2017,fr,2,2,0,Analyse de motifs et séquences dans les données
115,Pharmacovigilance du Web Social par une approche fondée sur les bases de connaissances du Web Sémantique,2017,fr,2,1,1,Extraction d’information et analyse documentaire web
116,PORGY : a Visual Analytics Platform for System Modelling and Analysis Based on Graph Rewriting,2017,en,6,3,3,Aide à la décision et analyse multidimensionnelle
117,Prédiction de défauts dans les arbres du parc végétal Grenoblois et préconisations pour les futures plantations,2017,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
118,Prédiction du montant levé lors d'une campagne de financement participatif par la méthode des plus proches voisins,2017,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
119,Prévision à court terme des flux de voyageurs du réseau ferré urbain : une approche par les réseaux bayésiens dynamiques,2017,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
120,Prototype de clustering exploratoire pour l'aide à la segmentation des clients,2017,fr,5,5,0,Apprentissage automatique et réseaux de connaissances
121,Recommandations et prédictions de préférences basées sur la combinaison de données sémantiques et de folksonomie,2017,fr,3,3,0,Analyse de motifs et séquences dans les données
122,Reconnaissance de sections et d'entités dans les décisions de justice : application des modèles probabilistes HMM et CRF,2017,fr,5,5,0,Apprentissage automatique et réseaux de connaissances
123,Sélection ciblée des descripteurs visuels pour la recherche d'images: une approche basée sur les règles d'association,2017,fr,3,1,2,Data mining et gestion de flux de données
124,Sélection et transformation de variables pour la classification Multi-Label par une approche MDL,2017,fr,3,3,0,Recherche d’information et traitement d’images
125,Subspace Clustering et Visualisation des Flux de Données,2017,fr,3,2,1,Analyse de motifs et séquences dans les données
126,Suivi de l'évolution de Clusters de Liens dans des Réseaux Sociaux Dynamiques,2017,fr,2,1,1,Apprentissage automatique et réseaux de connaissances
127,Support uniforme de types de données personnalisés dans RDF et SPARQL,2017,fr,2,2,0,Analyse de motifs et séquences dans les données
128,Sur l'évaluation et l'élaboration d'un jeu de données de référence de bonne qualité en télédétection,2017,fr,4,2,2,Analyse de motifs et séquences dans les données
129,Un critère d'évaluation pour les K-moyennes prédictives,2017,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
130,Un générateur de réseaux dynamiques attribués avec structure communautaire,2017,fr,4,3,1,Apprentissage automatique et réseaux de connaissances
131,Un Modèle de Factorisation de Poisson pour la Recommandation de Points d'Intérêt,2017,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
132,Une Approche d'Extraction de Motifs Graduels (Fermés) Fréquents Sous Contrainte de la Temporalité,2017,fr,5,3,2,Aide à la décision et analyse multidimensionnelle
133,Une approche innovante pour la compréhension des comportements de diffusion : personnalité et neutralité,2017,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
134,Une approche logique pour la fouille de règles d'association,2017,fr,4,4,0,Data mining et gestion de flux de données
135,Une approche sociologique de la place des calculs dans les mondes numériques,2017,fr,1,0,0,Apprentissage automatique et réseaux de connaissances
136,Une mesure d'expertise pour le crowdsourcing,2017,fr,5,3,2,Apprentissage automatique et réseaux de connaissances
137,Une métrique de sélection de variables appliquée à la centralité et à la détection des rôles communautaires,2017,fr,2,2,0,Apprentissage automatique et réseaux de connaissances
138,Une plateforme d'analyse d'opinions en temps réel sur Twitter avec recommandation,2017,fr,4,2,2,Apprentissage automatique et réseaux de connaissances
139,Veille d'Information sur le Web avec Re-Watch,2017,fr,2,2,0,Extraction d’information et analyse documentaire web
140,Vers un échantillonnage de flux de données transformé,2017,fr,2,2,0,Analyse de motifs et séquences dans les données
141,Vers une instance française de NELL : chaîne TLN multilingue et modélisation d'ontologie,2017,fr,2,1,1,Ontologies et traitement sémantique du texte
142,VIPE : un outil interactif de classification multilabel de messages courts,2017,fr,4,1,3,Recherche d’information et traitement d’images
143,"“Engage moi”: From retrieval effectiveness, user satisfaction to user engagement",2017,en,1,0,1,Extraction d’information et analyse documentaire web
144,A Relevant Passage Retrieval and Re-ranking Approach for Open-Domain Question Answering,2016,en,2,0,2,Extraction d’information et analyse documentaire web
145,Adaptation des Mappings entre Systèmes d'Organisation de la Connaissance du domaine Biomédical,2016,fr,1,1,0,Règles d’association et génération de connaissances
146,Analyse d'activité et exposition de la vie privée sur les médias sociaux,2016,fr,6,6,0,Apprentissage automatique et réseaux de connaissances
147,Analyse exploratoire par k-Coclustering avec Khiops CoViz,2016,en,5,4,0,Data mining et gestion de flux de données
148,Analyse géographique de séries de publications : application aux conférences EGC,2016,fr,5,3,2,Apprentissage automatique et réseaux de connaissances
149,Analyses synchroniques et diachroniques des thématiques EGC- Défi ECG 2016,2016,fr,2,2,0,Apprentissage automatique et réseaux de connaissances
150,"Apprentissage du signal prix de l'électricité. Arbres de régression, séries temporelles et prédictions à long terme",2016,fr,3,2,1,Visualisation et exploration interactive de données
151,Approche de Clustering de Flux basée sur les Graphes de Voisinage,2016,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
152,Arbres de modèles et flux de données incomplets,2016,fr,4,4,0,Analyse de motifs et séquences dans les données
153,Associer argumentation et simulation en aide à la décision : Illustration en agroalimentaire,2016,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
154,Caractérisation d'instances d'apprentissage pour un méta-mining évolutionnaire,2016,fr,5,3,2,Apprentissage automatique et réseaux de connaissances
155,Catégorisation et Désambiguïsation des Intérêts des Individus dans le Web Social,2016,fr,3,1,2,Extraction d’information et analyse documentaire web
156,Clustering par apprentissage de distance guidé par des préférences sur les attributs,2016,fr,5,5,0,Apprentissage automatique et réseaux de connaissances
157,Clustering visuel semi-interactif,2016,fr,5,4,1,Règles d’association et génération de connaissances
158,Combinaison de méthodes numériques et symboliques pour l'analyse de données métabolomiques,2016,fr,4,1,3,Analyse de motifs et séquences dans les données
159,Concept drift vs suicide: comment l'un peut prévenir l'autre?,2016,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
160,Construction incrémentale d'une structure hiérarchique pour l'exploration visuelle et interactive de larges collections d'images,2016,fr,4,2,2,Apprentissage automatique et réseaux de connaissances
161,Contributions à la coloration des hypergraphes basées sur les traverses minimales,2016,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
162,Découverte de labels dupliqués par l'exploration du treillis des classifieurs binaires,2016,fr,4,3,1,Apprentissage automatique et réseaux de connaissances
163,Découverte de motifs intelligibles et caractéristiques d'anomalies dans les traces unitaires,2016,fr,4,4,0,Aide à la décision et analyse multidimensionnelle
164,Défi EGC 2016 : Analyse par Motifs Fréquents et Topic Modeling,2016,fr,4,4,0,Aide à la décision et analyse multidimensionnelle
165,Défi EGC 2016 Vues Conceptuelles des Collaborations aux Conférences EGC depuis 2004: Une modélisation descriptive,2016,fr,1,1,0,Apprentissage automatique et réseaux de connaissances
166,Détection de données aberrantes à partir de motifs fréquents sans énumération exhaustive,2016,fr,2,2,0,Aide à la décision et analyse multidimensionnelle
167,Détection de messages falsifiés de localisation de navires,2016,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
168,Enrichissement de schéma multidimensionnel en constellation grâce à la Classification Ascendante Hiérarchique,2016,fr,6,5,1,Recherche d’information et traitement d’images
169,Évaluation et Prédiction de la Centralité de Groupes de Recherche dans un Réseau de Collaborations Scientifiques,2016,fr,4,3,1,Apprentissage automatique et réseaux de connaissances
170,Exploration des Données du Défi EGC 2016 à l'aide d'un Système d'Information Logique,2016,fr,4,2,2,Analyse de motifs et séquences dans les données
171,Extension de C-SPARQL pour l'échantillonnage de flux de graphes RDF,2016,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
172,Extraction automatique d'affixes pour la reconnaissance d'entités nommées chimiques,2016,fr,4,3,1,Règles d’association et génération de connaissances
173,Extraction de clés de liage de données (résumé étendu),2016,fr,1,1,0,Règles d’association et génération de connaissances
174,Extraction de commentaires utilisateurs sur le Web,2016,fr,3,2,1,Extraction d’information et analyse documentaire web
175,Extraction de connaissances dans les Systèmes d'Information Pervasifs par l'Analyse Formelle de Concepts,2016,fr,3,2,1,Règles d’association et génération de connaissances
176,Fabrique logicielle de réseaux sociaux spécialisés (aspects fonctionnels),2016,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
177,Fairness-Aware Data Mining,2016,en,1,1,0,Ontologies et traitement sémantique du texte
178,FODOMUST: une plateforme pour la fouille de données multistratégie multitemporelle,2016,fr,2,2,0,Analyse de motifs et séquences dans les données
179,Fouille de motifs séquentiels avec ASP,2016,fr,4,4,0,Aide à la décision et analyse multidimensionnelle
180,Fusion de données redondantes : une approche explicative,2016,fr,2,0,2,Analyse de motifs et séquences dans les données
181,Génération de contraintes pour le clustering à partir d'une ontologie - Application à la classification d'images satellites,2016,fr,5,3,2,Ontologies et traitement sémantique du texte
182,Identification de Classes Sémantiques Basée sur des Mesures de Proximité Sémantique,2016,fr,2,2,0,Apprentissage automatique et réseaux de connaissances
183,Intégration de connaissances lexicales et sémantiques pour l'analyse de sentiments dans les SMS,2016,fr,3,1,2,Règles d’association et génération de connaissances
184,Intégration des Influences Géographique et Temporelle pour la Recommandation de Points d'Intérêt,2016,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
185,Khiops: outil d'apprentissage supervisé automatique pour la fouille de grandes bases de données multi-tables,2016,fr,1,1,0,Analyse de motifs et séquences dans les données
186,L'analyse relationnelle de concepts pour la fouille de données temporelles – Application à l'étude de données hydroécologiques,2016,fr,5,1,4,Analyse de motifs et séquences dans les données
187,La génération des résumés visuels de flux de données de capteurs météorologiques avec des chorèmes,2016,fr,3,1,2,Analyse de motifs et séquences dans les données
188,La r-confiance pour l'identification de trajectoires de patients,2016,fr,5,2,3,Apprentissage automatique et réseaux de connaissances
189,La révolution de l'assurance par la donnée : défis scientifiques de l'extraction à la gestion de connaissances,2016,fr,1,1,0,Règles d’association et génération de connaissances
190,"Learning from Massive, Incompletely annotated & Structured Data",2016,en,1,1,0,Ontologies et traitement sémantique du texte
191,LibRe: Protocole de gestion de la cohérence dans les systèmes de stockage distribués,2016,fr,4,3,1,Apprentissage automatique et réseaux de connaissances
192,Manipulation interactive d'ensemble de motifs : application aux parcours hospitaliers,2016,fr,5,2,3,Aide à la décision et analyse multidimensionnelle
193,Nettoyage de données guidé par la sémantique inter-colonnes,2016,fr,3,2,1,Analyse de motifs et séquences dans les données
194,Nouveaux algorithmes de fouilles de données relationnelles de clowdflows,2016,fr,2,2,0,Analyse de motifs et séquences dans les données
195,Nouvelle méthode de calcul de la réputation dans les forums de santé,2016,fr,1,1,0,Apprentissage automatique et réseaux de connaissances
196,Observations sur les distributions latentes aux matrices laplaciennes de graphes,2016,fr,2,2,0,Apprentissage automatique et réseaux de connaissances
197,PersoRec : un système personnalisé de recommandations pour les folksonomies basé sur les concepts quadratiques,2016,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
198,Plongement de métrique pour le calcul de similarité sémantique à l'échelle,2016,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
199,Prédiction de la qualité dans les plateformes collaboratives : une approche générique par les graphes hétérogènes,2016,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
200,Recherche de groupes parallèles en classification non-supervisée,2016,fr,6,5,1,Recherche d’information et traitement d’images
201,Régression logistique pour la classification d'images à grande échelle,2016,fr,2,2,0,Recherche d’information et traitement d’images
202,Relaxation des Requêtes Skyline : Une Approche Centrée Utilisateur,2016,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
203,Requêtes discriminantes pour l'exploration des données,2016,fr,6,5,1,Analyse de motifs et séquences dans les données
204,SAFFIET : un système d'extraction de règles d'associations spatiales et fonctionnelles dans les séries de données géographiques,2016,fr,4,3,1,Data mining et gestion de flux de données
205,SArEM: Un méta-modèle pour la spécification des processus d'extraction d'architectures logicielles,2016,fr,4,2,2,Règles d’association et génération de connaissances
206,Segmentation comportementale à l'aide des réseaux communautaires,2016,fr,2,2,0,Apprentissage automatique et réseaux de connaissances
207,Sélection topologique de variables dans un contexte de discrimination,2016,fr,2,1,1,Apprentissage automatique et réseaux de connaissances
208,Slider : un Raisonneur Incrémental Évolutif,2016,fr,4,3,1,Apprentissage automatique et réseaux de connaissances
209,Structures de haies dans un paysage agricole : une étude par chemin de Hilbert adaptatif et chaînes de Markov,2016,fr,3,1,2,Apprentissage automatique et réseaux de connaissances
210,Supervision de comportements remarquables d'objets mobiles à partir du suivi et de l'analyse de leurs trajectoires spatio-temporelles,2016,fr,4,1,3,Analyse de séries temporelles et données spatio-temporelles
211,TOM: A library for topic modeling and browsing,2016,en,2,2,0,Data mining et gestion de flux de données
212,Topic modeling and hypergraph mining to analyze the EGC conference history,2016,en,3,3,0,Ontologies et traitement sémantique du texte
213,"Towards generic and efficient constraint-based mining, a constraint programming approach",2016,en,1,1,0,Ontologies et traitement sémantique du texte
214,Transmute : un outil interactif pour assister l'extraction de connaissances à partir de traces,2016,fr,3,1,2,Règles d’association et génération de connaissances
215,Un cadre collaboratif pour la segmentation et la classification d'images de télédétection,2016,fr,3,2,1,Recherche d’information et traitement d’images
216,Un outil d'exploration pour le Défi EGC 2016,2016,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
217,Un protocole d'expérimentation sur les propriétés graphémiques avec l'algorithme SOM,2016,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
218,Un regard lexico-scientométrique sur le défi EGC 2016,2016,fr,5,3,1,Apprentissage automatique et réseaux de connaissances
